lat,long,Type,Ecosystem,Mycorrhiza,Datasize
52.93,122.87,Permafrost,Wetland,ErM,4
48.17,128.65,Permafrost,Wetland,AM,1
48.13,128.65,Permafrost,Wetland,EcM,1
47.58,133.52,Seasonal frozen ground,Wetland,AM,94
47.58,133.48,Seasonal frozen ground,Wetland,NM,12
53.38,122.27,Permafrost,Forest,EcM,24
51.87,121.91,Permafrost,Forest,EcM,1
53.47,122.34,Permafrost,Wetland,NM,15
52.42,122.87,Permafrost,Wetland,ErM,6
51.13,125.14,Permafrost,Wetland,AM,9
51.15,125.15,Permafrost,Wetland,EcM,4
53.47,122.34,Permafrost,Forest,EcM,3
52.94,122.87,Permafrost,Wetland,AM,5
52.99,122.11,Permafrost,Forest,EcM,7
53.04,122.05,Permafrost,Forest,EcM,7
51.89,121.91,Permafrost,Forest,EcM,7
52.28,122.29,Permafrost,Forest,EcM,7
51.13,125.14,Permafrost,Forest,EcM,12
51.12,125.14,Permafrost,Forest,EcM,4
52,123,Permafrost,Forest,EcM,8
52,123,Permafrost,Wetland,AM,8
53.47,122.33,Permafrost,Forest,EcM,1
53.47,122.35,Permafrost,Forest,EcM,1
53.45,122.23,Permafrost,Forest,EcM,1
52.28,122.28,Permafrost,Forest,EcM,7
51.89,121.9,Permafrost,Forest,EcM,9
53.47,122.33,Permafrost,Wetland,EcM,29
52.73,122.65,Permafrost,Forest,EcM,2
52.73,122.65,Permafrost,Wetland,EcM,5
51.58,124.28,Permafrost,Wetland,ErM,2
52.25,122.64,Permafrost,Wetland,ErM,2
53.48,122.37,Permafrost,Forest,EcM,2
52.35,124.73,Permafrost,Forest,EcM,2
50.53,124.25,Permafrost,Forest,EcM,2
52.94,122.86,Permafrost,Wetland,,14
45.38,127.53,Seasonal frozen ground,Forest,EcM,16
48.2,122.95,Permafrost,Forest,EcM,1
49.52,122.45,Permafrost,Forest,EcM,1
51.05,123.93,Permafrost,Forest,EcM,1
50.15,121.81,Permafrost,Forest,EcM,1
47.53,120.64,Permafrost,Forest,EcM,1
47.33,119.99,Permafrost,Forest,EcM,1
50.83,121.19,Permafrost,Forest,EcM,1
50.94,121.51,Permafrost,Forest,EcM,1
50.67,119.8,Permafrost,Forest,EcM,1
47.61,122.02,Permafrost,Forest,EcM,1
50.99,122.43,Permafrost,Forest,EcM,1
50.92,121.51,Permafrost,Forest,EcM,1
49.65,121.63,Permafrost,Forest,EcM,1
50.37,120.87,Permafrost,Forest,EcM,1
47.95,121.24,Permafrost,Forest,EcM,1
52.77,120.06,Permafrost,Forest,EcM,1
50.94,122.09,Permafrost,Forest,EcM,1
48.12,128.63,Permafrost,Wetland,EcM,25
51.37,125.47,Permafrost,Wetland,EcM,10
50.37,127.34,Permafrost,Forest,EcM,1
50.25,127.53,Permafrost,Grassland,NM,1
46.59,123.92,Seasonal frozen ground,Grassland,AM,1
50.25,127.53,Permafrost,Wetland,AM,1
46.15,127.18,Seasonal frozen ground,Wetland,AM,1
44.92,130.52,Seasonal frozen ground,Forest,EcM,2
44.55,129.63,Seasonal frozen ground,Forest,EcM,1
48.88,124.88,Seasonal frozen ground,Grassland,NM,1
45.38,132.12,Seasonal frozen ground,Wetland,AM,1
44.92,130.52,Seasonal frozen ground,Wetland,AM,1
51.73,126.67,Permafrost,Forest,EcM,2
47.66,127.56,Seasonal frozen ground,Forest,EcM,2
52.33,124.71,Permafrost,Forest,EcM,1
52.97,122.54,Permafrost,Forest,EcM,1
44.47,128.92,Seasonal frozen ground,Forest,EcM,1
48.54,125.44,Seasonal frozen ground,Forest,EcM,1
44.06,131.13,Seasonal frozen ground,Forest,EcM,1
46.33,133.23,Seasonal frozen ground,Forest,EcM,1
45.29,125.91,Seasonal frozen ground,Grassland,,1
44.35,131.05,Seasonal frozen ground,Forest,EcM,1
45.39,131.57,Seasonal frozen ground,Forest,EcM,2
45.9,128.16,Seasonal frozen ground,Forest,EcM,1
48.55,125.44,Seasonal frozen ground,Grassland,,1
45.51,128.48,Seasonal frozen ground,Grassland,AM,1
44.55,129.63,Seasonal frozen ground,Grassland,,1
48.04,126.25,Permafrost,Forest,EcM,1
47.71,123.25,Seasonal frozen ground,Forest,EcM,1
46.29,123.74,Seasonal frozen ground,Grassland,AM,1
45.39,125.97,Seasonal frozen ground,Grassland,,1
47.46,126.97,Seasonal frozen ground,Grassland,NM,1
45.52,125.08,Seasonal frozen ground,Grassland,,1
46.08,127.41,Seasonal frozen ground,Grassland,NM,1
45.53,131.85,Seasonal frozen ground,Forest,EcM,1
45.71,127.35,Seasonal frozen ground,Grassland,NM,1
47.74,128.9,Seasonal frozen ground,Forest,EcM,2
45.38,125.77,Seasonal frozen ground,Grassland,,1
45.55,131.95,Seasonal frozen ground,Forest,EcM,1
49.44,127.5,Permafrost,Forest,EcM,1
45.51,131.8,Seasonal frozen ground,Grassland,AM,1
47.73,128.84,Seasonal frozen ground,Forest,EcM,1
48.04,123.67,Seasonal frozen ground,Grassland,AM,1
48.43,124.31,Seasonal frozen ground,Grassland,AM,1
45.52,125.31,Seasonal frozen ground,Grassland,AM,1
47.22,124.93,Seasonal frozen ground,Grassland,AM,1
45.21,127.96,Seasonal frozen ground,Wetland,EcM,1
42.89,129.25,Seasonal frozen ground,Forest,EcM,1
42.05,127.79,Seasonal frozen ground,Forest,,1
42.06,127.79,Seasonal frozen ground,Forest,EcM,2
43.67,126.51,Seasonal frozen ground,Forest,EcM,1
42.81,129.81,Seasonal frozen ground,Forest,,2
43.77,123.71,Seasonal frozen ground,Grassland,,1
42.34,128.15,Seasonal frozen ground,Forest,,1
43.06,128.82,Seasonal frozen ground,Forest,,1
42.3,127.08,Seasonal frozen ground,Forest,,1
42.46,128.14,Seasonal frozen ground,Forest,EcM,1
42.27,126.92,Seasonal frozen ground,Forest,,1
43.37,128.23,Seasonal frozen ground,Forest,,1
42.91,126.11,Seasonal frozen ground,Forest,EcM,1
42.39,126.81,Seasonal frozen ground,Forest,,1
42.77,126.3,Seasonal frozen ground,Forest,EcM,1
45.05,125.9,Seasonal frozen ground,Grassland,,1
45.7,122.07,Seasonal frozen ground,Grassland,,1
45.58,122.09,Seasonal frozen ground,Grassland,,1
41.42,124.8,Seasonal frozen ground,Forest,,1
41.32,124.72,Seasonal frozen ground,Forest,,1
41.73,125.04,Seasonal frozen ground,Forest,EcM,1
42.55,124.04,Seasonal frozen ground,Grassland,,1
38.81,121.17,Seasonal frozen ground,Forest,EcM,1
40.81,123.32,Seasonal frozen ground,Forest,EcM,1
42.5,123.41,Seasonal frozen ground,Forest,EcM,1
42.3,125.23,Seasonal frozen ground,Forest,EcM,2
38.91,121.61,Seasonal frozen ground,Forest,EcM,1
38.91,121.61,Seasonal frozen ground,Grassland,NM,2
41.51,122.47,Seasonal frozen ground,Forest,AM,1
41.45,122.47,Seasonal frozen ground,Forest,EcM,1
38.89,121.68,Seasonal frozen ground,Forest,EcM,1
41.07,123.34,Seasonal frozen ground,Forest,EcM,1
41.8,120.77,Seasonal frozen ground,Grassland,AM,1
40.73,124.78,Seasonal frozen ground,Forest,,1
41.82,123.58,Seasonal frozen ground,Forest,EcM,1
40.71,124.77,Seasonal frozen ground,Forest,EcM,1
41.21,119.57,Seasonal frozen ground,Grassland,AM,1
40.18,123.53,Seasonal frozen ground,Wetland,AM,1
42.17,124.11,Seasonal frozen ground,Forest,,1
41.24,122,Seasonal frozen ground,Wetland,AM,1
40.78,122.1,Seasonal frozen ground,Wetland,AM,1
41.76,120.78,Seasonal frozen ground,Grassland,AM,1
41.21,123.11,Seasonal frozen ground,Forest,AM,1
41.28,121.64,Seasonal frozen ground,Wetland,AM,2
41.8,120.77,Seasonal frozen ground,Forest,EcM,1
42.01,119.83,Seasonal frozen ground,Grassland,,1
42.72,122.69,Seasonal frozen ground,Forest,EcM,1
42.39,122.54,Seasonal frozen ground,Grassland,AM,1
42.08,119.71,Seasonal frozen ground,Grassland,AM,1
41.37,119.59,Seasonal frozen ground,Forest,EcM,1
41.59,121.8,Seasonal frozen ground,Wetland,AM,1
52.9,122.9,Permafrost,Wetland,ErM,2
42.35,126.38,Seasonal frozen ground,Wetland,AM,1
48.2,128.9,Permafrost,Wetland,EcM,1
47.6,133.5,Seasonal frozen ground,Wetland,NM,1
51.94,123.59,Permafrost,Forest,EcM,3
52.16,124.81,Permafrost,Forest,EcM,3
52.19,125.97,Permafrost,Forest,,3
47.48,133.35,Seasonal frozen ground,Wetland,AM,2
49.45,123.31,Permafrost,Forest,EcM,3
51.58,122.63,Permafrost,Forest,EcM,3
52.07,122.07,Permafrost,Wetland,ErM,2
53.56,122.34,Permafrost,Wetland,AM,3
53.56,122.34,Permafrost,Forest,EcM,6
53.4,122.27,Permafrost,Wetland,AM,7
52.86,122.73,Permafrost,Forest,EcM,2
53.45,122.3,Permafrost,Forest,EcM,3
53.45,122.28,Permafrost,Wetland,EcM,9
52.89,123.17,Permafrost,Wetland,EcM,2
51.69,121.87,Permafrost,Wetland,,1
51.685279,122.87,Permafrost,Wetland,,1
50.81,120.52,Permafrost,Wetland,,2
50.54,121.71,Permafrost,Wetland,,2
49.76,121.23,Permafrost,Wetland,,2
52.93,122.77,Permafrost,Wetland,,2
52.75,122.63,Permafrost,Wetland,,2
51.76,123.04,Permafrost,Wetland,,2
52.15,122.96,Permafrost,Wetland,,2
44.75,123.75,Seasonal frozen ground,Grassland,AM,34
43.87,126.53,Seasonal frozen ground,Forest,EcM,1
41.8,123.4,Seasonal frozen ground,Forest,EcM,1
44.55,123.52,Seasonal frozen ground,Grassland,AM,35
44.75,123.75,Seasonal frozen ground,Forest,EcM,5
42.7,122.48,Seasonal frozen ground,Grassland,AM,28
44.67,126.67,Seasonal frozen ground,Grassland,AM,1
45.37,132.33,Seasonal frozen ground,Wetland,AM,3
45.365278,132.333333,Seasonal frozen ground,Wetland,AM,1
44.73,123.73,Seasonal frozen ground,Grassland,AM,5
46.69,132.67,Seasonal frozen ground,Grassland,NM,27
45.38,132.33,Seasonal frozen ground,Wetland,AM,6
48.28,125.37,Seasonal frozen ground,Grassland,,2
48.28,125.37,Seasonal frozen ground,Forest,AM,4
