Type,Ecosystem,Mycorrhiza,log_stock,stock,Species
Permafrost,Wetland,ErM,1.415267232,26.0176,DX-DSYJ
Permafrost,Wetland,AM,1.3502771,22.4015,LNTC
Permafrost,Wetland,EcM,1.372021892,23.55168,LYS-DSYJ
Seasonal frozen ground,Wetland,AM,1.060468926,11.49394,MTC
Seasonal frozen ground,Wetland,NM,0.938183367,8.67328,XYZ
Permafrost,Forest,EcM,0.9007439,7.9569,BH
Permafrost,Forest,EcM,0.548870745,3.53892,BH
Permafrost,Forest,EcM,1.089307988,12.2831,BH-LYS
Permafrost,Forest,EcM,0.568595931,3.70336,BH-LYS
Permafrost,Forest,EcM,1.154707526,14.27932,LYS
Permafrost,Forest,EcM,0.767534317,5.8551,LYS
Permafrost,Wetland,NM,1.484185944,30.49200231,BMYHZC
Permafrost,Wetland,NM,1.390040207,24.54936186,BMYHZC
Permafrost,Wetland,ErM,2.01099495,102.564,DG
Permafrost,Wetland,AM,1.711623758,51.478248,TC
Permafrost,Wetland,AM,1.727612495,53.40876,TC
Permafrost,Wetland,EcM,1.826610068,67.082628,ZL
Permafrost,Wetland,EcM,1.571962023,37.321752,ZL
Permafrost,Forest,EcM,0.547085225,3.524400267,BH
Permafrost,Forest,EcM,0.878273589,7.555680572,BH
Permafrost,Forest,EcM,1.167381178,14.70216111,BH
Permafrost,Wetland,AM,1.889178401,77.478,SC-TX
Permafrost,Wetland,AM,1.79813941,62.826,SC-TX
Permafrost,Forest,EcM,1.924500317,84.042762,LYS
Permafrost,Forest,EcM,1.899195117,79.285746,LYS
Permafrost,Forest,EcM,1.833693596,68.185746,LYS
Permafrost,Forest,EcM,2.052854551,112.94176,LYS
Permafrost,Forest,EcM,2.019301339,104.544536,LYS
Permafrost,Forest,EcM,1.943249026,87.750384,LYS
Permafrost,Forest,EcM,0.996474887,9.9191598,LYS
Permafrost,Forest,EcM,0.962056891,9.1634052,LYS
Permafrost,Forest,EcM,0.956045542,9.0374424,LYS
Permafrost,Forest,EcM,1.844516441,69.90632,LYS
Permafrost,Forest,EcM,1.718272573,52.272416,LYS
Permafrost,Forest,EcM,1.867379418,73.685056,LYS
Permafrost,Forest,EcM,1.730432067,53.756634,LYS-BH
Permafrost,Forest,EcM,1.701306121,50.26968,LYS-BH
Permafrost,Forest,EcM,1.484450321,30.51057,LYS-BH
Permafrost,Forest,EcM,1.366349429,23.246064,LYS-BH
Permafrost,Forest,EcM,1.360886113,22.955466,LYS-BH
Permafrost,Forest,EcM,0.981773382,9.5890014,LYS-BH
Permafrost,Forest,EcM,0.894623206,7.8455466,LYS-BH
Permafrost,Forest,EcM,0.718531947,5.2303644,LYS-BH
Permafrost,Forest,EcM,1.454283965,28.46321578,LYS
Permafrost,Forest,EcM,1.180286549,15.14560232,LYS
Permafrost,Wetland,AM,1.700526159,50.17948028,LNTC
Permafrost,Wetland,AM,1.572193743,37.34167053,LNTC
Permafrost,Forest,EcM,1.388337628,24.45330858,LYS
Permafrost,Forest,EcM,1.247718149,17.68960557,LYS
Permafrost,Wetland,AM,1.660723725,45.78505336,LNTC
Permafrost,Wetland,AM,1.582527317,38.24083063,LNTC
Permafrost,Forest,EcM,1.023188237,10.54844,LYS
Permafrost,Forest,EcM,1.006705587,10.1556,ZZS
Permafrost,Forest,EcM,0.91944421,8.307,BH
Permafrost,Forest,EcM,1.842507393,69.58368,LYS
Permafrost,Forest,EcM,1.711763578,51.494824,LYS
Permafrost,Forest,EcM,1.861650908,72.719504,LYS
Permafrost,Forest,EcM,0.997876179,9.9512166,LYS
Permafrost,Forest,EcM,0.959179199,9.102888,LYS
Permafrost,Forest,EcM,0.955482963,9.025743,LYS
Permafrost,Wetland,EcM,1.149226538,14.10024107,LYS-KYDX
Permafrost,Wetland,EcM,1.21664933,16.46832125,LYS-LMTC
