Type,Ecosystem,Mycorrhiza,stock,log_stock,Species
Permafrost,Forest,EcM,1.7952,0.25411284,BH
Permafrost,Forest,EcM,1.25328,0.098048109,BH
Permafrost,Forest,EcM,2.07632,0.317294287,BH-LYS
Permafrost,Forest,EcM,1.12646,0.051715775,BH-LYS
Permafrost,Forest,EcM,4.54572,0.657602681,LYS
Permafrost,Forest,EcM,2.6418,0.421899936,LYS
Permafrost,Forest,EcM,20.3278,1.308090379,LYS
Permafrost,Wetland,ErM,123.2178,2.09067345,DG
Permafrost,Wetland,ErM,109.9014,2.041003225,DG
Permafrost,Wetland,AM,42.30876,1.626430297,TC
Permafrost,Wetland,AM,44.721678,1.65051809,TC
Permafrost,Wetland,EcM,38.32027,1.58342856,ZL
Permafrost,Wetland,EcM,32.76081,1.515354631,ZL
Permafrost,Forest,EcM,58.714364,1.768744361,LYS
Permafrost,Forest,EcM,39.142818,1.592652089,LYS
Permafrost,Forest,EcM,66.785968,1.824685225,LYS
Permafrost,Forest,EcM,44.374616,1.647134608,LYS
Permafrost,Forest,EcM,10.3770102,1.016072244,LYS
Permafrost,Forest,EcM,8.8224164,0.945587552,LYS
Permafrost,Forest,EcM,84.042412,1.924498508,LYS
Permafrost,Forest,EcM,63.872448,1.805313561,LYS
Permafrost,Forest,EcM,59.175506,1.77214198,LYS-BH
Permafrost,Forest,EcM,53.437124,1.727843076,LYS-BH
Permafrost,Forest,EcM,14.7041826,1.167440887,LYS-BH
Permafrost,Forest,EcM,11.8350738,1.07317097,LYS-BH
Permafrost,Forest,EcM,6.4554948,0.809929536,LYS-BH
Permafrost,Forest,EcM,5.0209404,0.700785066,LYS-BH
Permafrost,Forest,EcM,3.9450246,0.596049716,LYS-BH
Permafrost,Forest,EcM,4.3036632,0.633838277,LYS-BH
Permafrost,Forest,EcM,11.42977865,1.05803782,LYS
Permafrost,Wetland,AM,14.21752552,1.152824016,LNTC
Permafrost,Forest,EcM,9.442461253,0.975085211,LYS
Permafrost,Wetland,AM,15.27454919,1.183968401,LNTC
Permafrost,Forest,EcM,83.276112,1.920520441,LYS
Permafrost,Forest,EcM,62.829016,1.798160258,LYS
Permafrost,Forest,EcM,10.3524324,1.015042403,LYS
Permafrost,Forest,EcM,8.786769,0.943829209,LYS
Permafrost,Wetland,ErM,131.666772,2.119476188,LNTC-DG
Permafrost,Wetland,ErM,108.371884,2.034916623,LNTC-DG
Permafrost,Wetland,,98.366,1.992845011,
Permafrost,Wetland,EcM,88.776,1.948295573,QM
Permafrost,Wetland,ErM,133.712,2.126170385,DX-DSYJ
Permafrost,Wetland,ErM,111.244,2.046276596,DX-DSYJ
Permafrost,Wetland,EcM,71.928,1.856897985,QM
Permafrost,Wetland,EcM,88.776,1.948295573,NTX-CH
Seasonal frozen ground,Wetland,AM,15.9468,1.202673547,MTC
Permafrost,Wetland,EcM,11.82,1.072617477,QM
Permafrost,Wetland,EcM,14.912,1.173535895,QM
Permafrost,Wetland,EcM,14.178,1.151614972,BH
Permafrost,Wetland,EcM,16.776,1.224688417,BH
Permafrost,Wetland,EcM,13.032,1.115011071,LYS
Permafrost,Wetland,EcM,12.552,1.098712931,LYS
Permafrost,Wetland,EcM,17.38,1.240049772,LYS
Permafrost,Wetland,EcM,16.984,1.230039981,LYS
Permafrost,Wetland,EcM,18.126,1.258301976,LYS
Permafrost,Wetland,EcM,13.984,1.145631415,LYS
Permafrost,Wetland,EcM,1.74384,0.241506635,BH
Permafrost,Wetland,EcM,2.5012,0.39814842,BH
Permafrost,Wetland,EcM,2.02,0.305351369,LYS
Permafrost,Wetland,EcM,2.38576,0.377626753,LYS
Permafrost,Forest,EcM,20.13078,1.303860603,
Permafrost,Forest,EcM,15.58786,1.192786497,
Permafrost,Forest,,14.29458,1.1551714,
Permafrost,Wetland,ErM,107.49688,2.031395859,DSYJ-NTX
Seasonal frozen ground,Wetland,AM,14.39048,1.15807528,MGTC-XYTM
Permafrost,Forest,EcM,8.815452,0.945244585,LYS
Permafrost,Forest,EcM,24.4120112,1.387603561,LYS
Permafrost,Wetland,ErM,,,DSYJ-BMYHZC
Permafrost,Wetland,EcM,12.19428,1.086156163,CH-DSYJ
Permafrost,Wetland,EcM,8.7527,0.942142043,CH-DSYJ
Permafrost,Wetland,EcM,17.5816758,1.245060268,LYS-XYDX
Permafrost,Wetland,AM,18.49752,1.267113506,TC
Permafrost,Forest,EcM,3.49968,0.544028336,BH
Permafrost,Forest,EcM,9.74832,0.988929777,LYS
Permafrost,Wetland,EcM,4.77476,0.678951547,LYS
