log_stock60,Ecosystem
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Forest
,Forest
,Forest
,Forest
,Forest
0.91722867,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
1.021372078,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
1.178662761,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Forest
,Forest
,Forest
0.977776636,Wetland
0.920229891,Forest
0.9418756,Forest
0.964203829,Wetland
,Wetland
,Wetland
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
2.192696917,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
2.286655652,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
1.443360716,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
2.296527533,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
1.659778862,Forest
,Wetland
,Wetland
,Wetland
1.920124126,Wetland
,Forest
,Forest
,Forest
1.640047257,Forest
,Wetland
,Wetland
,Wetland
1.912266173,Wetland
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
2.292298772,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
1.443129903,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Wetland
,Wetland
,Wetland
,Forest
,Forest
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Wetland
,Wetland
,Wetland
,Wetland
1.61155338,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
1.670848621,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
1.602222821,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
1.678682233,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
1.730911415,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
1.017054218,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
0.923723654,Wetland
,Forest
,Grassland
,Grassland
,Wetland
,Wetland
,Wetland
,Forest
,Forest
,Grassland
,Wetland
,Wetland
,Wetland
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Grassland
,Wetland
,Forest
,Forest
,Forest
,Grassland
,Grassland
,Grassland
,Forest
,Grassland
,Forest
,Grassland
,Grassland
,Grassland
,Grassland
,Grassland
,Forest
,Grassland
,Forest
,Grassland
,Forest
,Wetland
,Grassland
,Forest
,Grassland
,Grassland
,Forest
,Forest
,Grassland
,Grassland
