log_stock60,Mycorrhiza
,ErM
,AM
,EcM
,AM
,NM
,EcM
,EcM
,EcM
,EcM
,EcM
0.91722867,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
1.021372078,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
1.178662761,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,NM
,NM
,ErM
,ErM
,ErM
,AM
,AM
,AM
,AM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
0.977776636,AM
0.920229891,EcM
0.9418756,EcM
0.964203829,AM
,AM
,AM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
2.192696917,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
2.286655652,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
1.443360716,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
2.296527533,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
1.659778862,EcM
,AM
,AM
,AM
1.920124126,AM
,EcM
,EcM
,EcM
1.640047257,EcM
,AM
,AM
,AM
1.912266173,AM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
2.292298772,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
1.443129903,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,NM
,NM
,ErM
,ErM
,ErM
,ErM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,ErM
,ErM
,ErM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,NM
,ErM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,AM
,AM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
1.61155338,EcM
,EcM
,EcM
,EcM
,EcM
1.670848621,EcM
,EcM
,EcM
,EcM
,EcM
1.602222821,EcM
,EcM
,EcM
,EcM
,EcM
1.678682233,EcM
,EcM
,EcM
,EcM
,EcM
1.730911415,EcM
,EcM
,EcM
,EcM
,EcM
1.017054218,EcM
,EcM
,EcM
,EcM
,EcM
0.923723654,EcM
,EcM
,NM
,AM
,AM
,AM
,AM
,EcM
,EcM
,NM
,AM
,AM
,AM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,AM
,EcM
,EcM
,EcM
,AM
,EcM
,EcM
,AM
,NM
,EcM
,NM
,EcM
,NM
,EcM
,AM
,EcM
,EcM
,EcM
,AM
,AM
,EcM
,AM
,AM
,AM
,AM
,AM
,NM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,AM
,NM
,AM
,EcM
,EcM
,EcM
,AM
,EcM
,AM
,AM
,EcM
,EcM
,AM
,AM
,AM
,AM
,EcM
,AM
,AM
,AM
,AM
,EcM
,EcM
,AM
,AM
,EcM
,AM
,AM
,AM
,EcM
,EcM
,EcM
,EcM
,EcM
,ErM
,AM
,ErM
,EcM
,NM
,EcM
,EcM
1.76024511,EcM
,EcM
,EcM
,EcM
,EcM
1.676412841,EcM
,EcM
,EcM
,ErM
,ErM
,AM
,AM
,ErM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,ErM
,ErM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
1.728204943,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,AM
,AM
,AM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,AM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,AM
,AM
,AM
,AM
,AM
,AM
,AM
,EcM
,EcM
,AM
,AM
,AM
,AM
,AM
0.867812665,AM
,AM
,AM
,AM
,AM
,AM
,AM
0.743527795,AM
,AM
,AM
,AM
,AM
,AM
,AM
0.682746893,AM
,AM
,AM
,AM
,AM
,AM
,AM
0.585372734,AM
,AM
,AM
,AM
,AM
,AM
,AM
0.648385385,AM
,AM
,AM
,AM
,AM
,AM
,AM
0.929223194,AM
,AM
,AM
,AM
,AM
,AM
,AM
0.788638484,AM
,AM
,EcM
,EcM
,EcM
,EcM
1.531876107,EcM
,EcM
,EcM
,AM
,AM
,AM
,AM
1.369495267,AM
,AM
,AM
,AM
,EcM
,EcM
,EcM
,EcM
,EcM
,EcM
,AM
,EcM
,EcM
