log_stock60,Type
,Permafrost
,Permafrost
,Permafrost
,Seasonal frozen ground
,Seasonal frozen ground
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
0.91722867,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.021372078,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.178662761,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
0.977776636,Permafrost
0.920229891,Permafrost
0.9418756,Permafrost
0.964203829,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
2.192696917,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
2.286655652,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.443360716,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
2.296527533,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.659778862,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.920124126,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.640047257,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.912266173,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
2.292298772,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.443129903,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Seasonal frozen ground
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.61155338,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.670848621,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.602222821,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.678682233,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.730911415,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.017054218,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
0.923723654,Permafrost
,Permafrost
,Permafrost
,Seasonal frozen ground
,Permafrost
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Permafrost
,Seasonal frozen ground
,Permafrost
,Permafrost
,Permafrost
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Permafrost
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Permafrost
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Seasonal frozen ground
,Permafrost
,Permafrost
,Seasonal frozen ground
,Permafrost
,Permafrost
1.76024511,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.676412841,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.624788306,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Seasonal frozen ground
,Seasonal frozen ground
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
1.728204943,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Permafrost
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
0.867812665,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
0.743527795,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
0.682746893,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
0.585372734,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
0.648385385,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
0.929223194,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
0.788638484,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
1.531876107,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
1.369495267,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
0.465680212,Seasonal frozen ground
0.49248101,Seasonal frozen ground
0.505149978,Seasonal frozen ground
0.45484486,Seasonal frozen ground
0.467163966,Seasonal frozen ground
0.495266744,Seasonal frozen ground
0.490239485,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
0.806790272,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
1.586514166,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
1.501976203,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
1.554997659,Seasonal frozen ground
,Seasonal frozen ground
,Seasonal frozen ground
1.604177435,Seasonal frozen ground
