layer,log_stock,MAP
0-20,1.415267232,400
0-20,1.3502771,630
0-20,1.372021892,630
0-20,1.060468926,588
0-20,0.938183367,588
0-20,0.9007439,490
0-20,0.548870745,490
20-40,0.25411284,490
20-40,0.098048109,490
0-20,1.089307988,490
0-20,0.568595931,490
20-40,0.317294287,490
20-40,0.051715775,490
0-20,1.154707526,490
0-20,0.767534317,490
20-40,0.657602681,490
20-40,0.421899936,490
20-40,1.308090379,500
0-20,1.484185944,550.7
0-20,1.390040207,550.7
0-20,2.01099495,452
20-40,2.09067345,452
20-40,2.041003225,452
0-20,1.711623758,522
0-20,1.727612495,522
20-40,1.626430297,522
20-40,1.65051809,522
0-20,1.826610068,522
0-20,1.571962023,522
20-40,1.58342856,522
20-40,1.515354631,522
0-20,0.547085225,425
0-20,0.878273589,425
0-20,1.167381178,425
0-20,1.889178401,425
0-20,1.79813941,490
0-20,1.924500317,438
0-20,1.899195117,438
0-20,1.833693596,438
20-40,1.768744361,438
20-40,1.592652089,438
0-20,2.052854551,438
0-20,2.019301339,438
0-20,1.943249026,438
20-40,1.824685225,438
20-40,1.647134608,438
0-20,0.996474887,438
0-20,0.962056891,438
0-20,0.956045542,438
20-40,1.016072244,438
20-40,0.945587552,438
0-20,1.844516441,438
0-20,1.718272573,438
0-20,1.867379418,438
20-40,1.924498508,438
20-40,1.805313561,438
0-20,1.730432067,500
0-20,1.701306121,500
20-40,1.77214198,500
20-40,1.727843076,500
0-20,1.484450321,500
0-20,1.366349429,500
20-40,1.167440887,500
20-40,1.07317097,500
0-20,1.360886113,500
0-20,0.981773382,500
20-40,0.809929536,500
20-40,0.700785066,500
0-20,0.894623206,500
0-20,0.718531947,500
20-40,0.596049716,500
20-40,0.633838277,500
0-20,1.454283965,350
0-20,1.180286549,350
20-40,1.05803782,350
0-20,1.700526159,350
0-20,1.572193743,350
20-40,1.152824016,350
0-20,1.388337628,350
0-20,1.247718149,350
20-40,0.975085211,350
0-20,1.660723725,350
0-20,1.582527317,350
20-40,1.183968401,350
0-20,1.023188237,442.95
0-20,1.006705587,442.95
0-20,0.91944421,442.95
0-20,1.842507393,438
0-20,1.711763578,438
0-20,1.861650908,438
20-40,1.920520441,438
20-40,1.798160258,438
0-20,0.997876179,438
0-20,0.959179199,438
0-20,0.955482963,438
20-40,1.015042403,438
20-40,0.943829209,438
0-20,1.149226538,490
0-20,1.21664933,490
0-20,1.115506701,490
0-20,1.957013138,452
0-20,1.765757937,452
0-20,2.092467993,452
0-20,1.938159331,452
0-20,2.001491409,452
0-20,1.821539729,452
0-20,2.097711127,498
20-40,2.119476188,498
0-20,2.052683786,430
20-40,2.034916623,430
0-20,0.942611212,490
0-20,0.530507087,490
0-20,0.942611212,490
0-20,0.482679283,490
0-20,0.969747597,490
0-20,0.58951177,490
0-20,1.122221155,490
0-20,0.685003291,490
0-20,0.956391318,490
0-20,0.565243195,490
0-20,1.006048267,490
0-20,0.652052881,490
0-20,1.016548697,490
0-20,0.573586355,490
0-20,1.033963908,490
0-20,0.634590145,490
0-20,1.062780507,490
0-20,0.694373546,490
0-20,1.019518431,490
0-20,0.641712048,490
0-20,0.908034439,490
0-20,0.561168226,490
0-20,0.874463296,490
0-20,0.497515721,490
0-20,0.872468652,490
0-20,0.467318019,490
0-20,1.023881044,490
0-20,0.678562112,490
0-20,0.892602129,490
0-20,0.516773311,490
0-20,0.925163519,432
0-20,0.511391327,432
0-20,1.198885752,472
0-20,0.78521594,472
0-20,1.29345979,500
0-20,0.717544023,500
0-20,1.94732587,450
0-20,1.891660091,450
20-40,1.992845011,450
