layer,log_stock,MAT
0-20,1.415267232,-5.5
0-20,1.3502771,0.4
0-20,1.372021892,0.4
0-20,1.060468926,2.52
0-20,0.938183367,2.52
0-20,0.9007439,-4.9
0-20,0.548870745,-4.9
20-40,0.25411284,-4.9
20-40,0.098048109,-4.9
0-20,1.089307988,-4.9
0-20,0.568595931,-4.9
20-40,0.317294287,-4.9
20-40,0.051715775,-4.9
0-20,1.154707526,-4.9
0-20,0.767534317,-4.9
20-40,0.657602681,-4.9
20-40,0.421899936,-4.9
20-40,1.308090379,-4
0-20,1.484185944,-2.2
0-20,1.390040207,-2.2
0-20,2.01099495,-3.9
20-40,2.09067345,-3.9
20-40,2.041003225,-3.9
0-20,1.711623758,-2.4
0-20,1.727612495,-2.4
20-40,1.626430297,-2.4
20-40,1.65051809,-2.4
0-20,1.826610068,-2.4
0-20,1.571962023,-2.4
20-40,1.58342856,-2.4
20-40,1.515354631,-2.4
0-20,0.547085225,-4.9
0-20,0.878273589,-4.9
0-20,1.167381178,-4.9
0-20,1.889178401,-4.2
0-20,1.79813941,-3
0-20,1.924500317,-4.2
0-20,1.899195117,-4.2
0-20,1.833693596,-4.2
20-40,1.768744361,-4.2
20-40,1.592652089,-4.2
0-20,2.052854551,-4.2
0-20,2.019301339,-4.2
0-20,1.943249026,-4.2
20-40,1.824685225,-4.2
20-40,1.647134608,-4.2
0-20,0.996474887,-4.2
0-20,0.962056891,-4.2
0-20,0.956045542,-4.2
20-40,1.016072244,-4.2
20-40,0.945587552,-4.2
0-20,1.844516441,-4.2
0-20,1.718272573,-4.2
0-20,1.867379418,-4.2
20-40,1.924498508,-4.2
20-40,1.805313561,-4.2
0-20,1.730432067,-2.3
0-20,1.701306121,-2.3
20-40,1.77214198,-2.3
20-40,1.727843076,-2.3
0-20,1.484450321,-2.3
0-20,1.366349429,-2.3
20-40,1.167440887,-2.3
20-40,1.07317097,-2.3
0-20,1.360886113,-2.3
0-20,0.981773382,-2.3
20-40,0.809929536,-2.3
20-40,0.700785066,-2.3
0-20,0.894623206,-2.3
0-20,0.718531947,-2.3
20-40,0.596049716,-2.3
20-40,0.633838277,-2.3
0-20,1.454283965,-3
0-20,1.180286549,-3
20-40,1.05803782,-3
0-20,1.700526159,-3
0-20,1.572193743,-3
20-40,1.152824016,-3
0-20,1.388337628,-3
0-20,1.247718149,-3
20-40,0.975085211,-3
0-20,1.660723725,-3
0-20,1.582527317,-3
20-40,1.183968401,-3
0-20,1.023188237,-3.3
0-20,1.006705587,-3.3
0-20,0.91944421,-3.3
0-20,1.842507393,-4.2
0-20,1.711763578,-4.2
0-20,1.861650908,-4.2
20-40,1.920520441,-4.2
20-40,1.798160258,-4.2
0-20,0.997876179,-4.2
0-20,0.959179199,-4.2
0-20,0.955482963,-4.2
20-40,1.015042403,-4.2
20-40,0.943829209,-4.2
0-20,1.149226538,-4.9
0-20,1.21664933,-4.9
0-20,1.115506701,-4.9
0-20,1.957013138,-3.9
0-20,1.765757937,-3.9
0-20,2.092467993,-3.9
0-20,1.938159331,-3.9
0-20,2.001491409,-3.9
0-20,1.821539729,-3.9
0-20,2.097711127,-3.6
20-40,2.119476188,-3.6
