layer,log_stock,MBC,log_MBC
0-20,1.415267232,0.2992024,-0.524034927
0-20,1.3502771,0.1030469,-0.986965069
0-20,1.372021892,0.240227136,-0.619377936
0-20,1.060468926,0.205741526,-0.686678043
0-20,0.938183367,0.619272192,-0.208118421
0-20,0.9007439,0.0609,-1.215382707
0-20,0.548870745,0.050512,-1.296605435
20-40,0.25411284,0.01224,-1.912218582
20-40,0.098048109,0.010416,-1.982299029
0-20,1.089307988,0.0904,-1.04383157
0-20,0.568595931,0.054812,-1.261124351
20-40,0.317294287,0.027056,-1.56773641
20-40,0.051715775,0.01963,-1.7070797
0-20,1.154707526,0.025398,-1.595200481
0-20,0.767534317,0.01537,-1.813326133
20-40,0.657602681,0.019398,-1.712243045
20-40,0.421899936,0.00925,-2.033858267
20-40,1.308090379,0.058201829,-1.235063364
0-20,1.484185944,0.085239006,-1.069361621
0-20,1.390040207,0.085239006,-1.069361621
0-20,2.01099495,0.93018,-0.031433003
20-40,2.09067345,1.025582,0.01097039
20-40,2.041003225,0.895432,-0.047967389
0-20,1.711623758,0.086668135,-1.06214055
0-20,1.727612495,0.086668135,-1.06214055
20-40,1.626430297,0.086668135,-1.06214055
20-40,1.65051809,0.086668135,-1.06214055
0-20,1.826610068,0.086550251,-1.062731666
0-20,1.571962023,0.086550251,-1.062731666
20-40,1.58342856,0.106823283,-0.971334078
20-40,1.515354631,0.106823283,-0.971334078
0-20,0.547085225,0.085239006,-1.069361621
0-20,0.878273589,0.085239006,-1.069361621
0-20,1.167381178,0.085239006,-1.069361621
0-20,1.889178401,0.094335569,-1.025324525
0-20,1.79813941,0.086668135,-1.06214055
0-20,1.924500317,0.095154086,-1.021572558
0-20,1.899195117,0.095154086,-1.021572558
0-20,1.833693596,0.095154086,-1.021572558
20-40,1.768744361,0.117442431,-0.930174969
20-40,1.592652089,0.117442431,-0.930174969
0-20,2.052854551,0.078154361,-1.107046783
0-20,2.019301339,0.078154361,-1.107046783
0-20,1.943249026,0.078154361,-1.107046783
20-40,1.824685225,0.083435061,-1.078651411
20-40,1.647134608,0.083435061,-1.078651411
0-20,0.996474887,0.096448343,-1.015705229
0-20,0.962056891,0.096448343,-1.015705229
0-20,0.956045542,0.096448343,-1.015705229
20-40,1.016072244,0.119039847,-0.924307641
20-40,0.945587552,0.119039847,-0.924307641
