layer,log_stock,NDSI
0-20,1.415267232,18.3852997
0-20,1.3502771,5.4612799
0-20,1.372021892,7.5397801
0-20,1.060468926,21.0009003
0-20,0.938183367,24.4498997
0-20,0.9007439,17.1676998
0-20,0.548870745,17.1676998
20-40,0.25411284,17.1676998
20-40,0.098048109,17.1676998
0-20,1.089307988,17.1676998
0-20,0.568595931,17.1676998
20-40,0.317294287,17.1676998
20-40,0.051715775,17.1676998
0-20,1.154707526,17.1676998
0-20,0.767534317,17.1676998
20-40,0.657602681,17.1676998
20-40,0.421899936,17.1676998
20-40,1.308090379,6.7214298
0-20,1.484185944,11.0199003
0-20,1.390040207,11.0199003
0-20,2.01099495,12.1788998
20-40,2.09067345,12.1788998
20-40,2.041003225,12.1788998
0-20,1.711623758,12.1014004
0-20,1.727612495,12.1014004
20-40,1.626430297,12.1014004
20-40,1.65051809,12.1014004
0-20,1.826610068,12.559
0-20,1.571962023,12.559
20-40,1.58342856,12.559
20-40,1.515354631,12.559
0-20,0.547085225,11.0199003
0-20,0.878273589,11.0199003
0-20,1.167381178,11.0199003
0-20,1.889178401,15.8376999
0-20,1.79813941,12.1014004
0-20,1.924500317,9.2787199
0-20,1.899195117,9.2787199
0-20,1.833693596,9.2787199
20-40,1.768744361,9.2787199
20-40,1.592652089,9.2787199
0-20,2.052854551,12.1511002
0-20,2.019301339,12.1511002
0-20,1.943249026,12.1511002
20-40,1.824685225,12.1511002
20-40,1.647134608,12.1511002
0-20,0.996474887,4.9176002
0-20,0.962056891,4.9176002
0-20,0.956045542,4.9176002
20-40,1.016072244,4.9176002
20-40,0.945587552,4.9176002
0-20,1.844516441,17.6648006
0-20,1.718272573,17.6648006
0-20,1.867379418,17.6648006
20-40,1.924498508,17.6648006
20-40,1.805313561,17.6648006
0-20,1.730432067,12.1014004
0-20,1.701306121,12.1014004
20-40,1.77214198,12.1014004
20-40,1.727843076,12.1014004
0-20,1.484450321,12.1014004
0-20,1.366349429,12.1014004
20-40,1.167440887,12.1014004
20-40,1.07317097,12.1014004
0-20,1.360886113,12.1014004
0-20,0.981773382,12.1014004
20-40,0.809929536,12.1014004
20-40,0.700785066,12.1014004
0-20,0.894623206,12.1014004
0-20,0.718531947,12.1014004
20-40,0.596049716,12.1014004
20-40,0.633838277,12.1014004
0-20,1.454283965,7.9060602
0-20,1.180286549,7.9060602
20-40,1.05803782,7.9060602
0-20,1.700526159,7.9060602
0-20,1.572193743,7.9060602
20-40,1.152824016,7.9060602
0-20,1.388337628,7.9060602
0-20,1.247718149,7.9060602
20-40,0.975085211,7.9060602
0-20,1.660723725,7.9060602
0-20,1.582527317,7.9060602
20-40,1.183968401,7.9060602
0-20,1.023188237,11.0199003
0-20,1.006705587,14.1899996
0-20,0.91944421,16.2763996
0-20,1.842507393,17.6648006
0-20,1.711763578,17.6648006
0-20,1.861650908,17.6648006
20-40,1.920520441,17.6648006
20-40,1.798160258,17.6648006
0-20,0.997876179,6.1280398
0-20,0.959179199,6.1280398
0-20,0.955482963,6.1280398
20-40,1.015042403,6.1280398
20-40,0.943829209,6.1280398
0-20,1.149226538,11.0199003
0-20,1.21664933,11.0199003
