layer,log_stock,NDVI
0-20,1.415267232,0.421577
0-20,1.3502771,0.439049
0-20,1.372021892,0.415376
0-20,1.060468926,0.304837
0-20,0.938183367,0.304471
0-20,0.9007439,0.393888
0-20,0.548870745,0.393888
20-40,0.25411284,0.393888
20-40,0.098048109,0.393888
0-20,1.089307988,0.393888
0-20,0.568595931,0.393888
20-40,0.317294287,0.393888
20-40,0.051715775,0.393888
0-20,1.154707526,0.393888
0-20,0.767534317,0.393888
20-40,0.657602681,0.393888
20-40,0.421899936,0.393888
20-40,1.308090379,0.353157
0-20,1.484185944,0.401434
0-20,1.390040207,0.401434
0-20,2.01099495,0.430922
20-40,2.09067345,0.430922
20-40,2.041003225,0.430922
0-20,1.711623758,0.370996
0-20,1.727612495,0.370996
20-40,1.626430297,0.370996
20-40,1.65051809,0.370996
0-20,1.826610068,0.361417
0-20,1.571962023,0.361417
20-40,1.58342856,0.361417
20-40,1.515354631,0.361417
0-20,0.547085225,0.401434
0-20,0.878273589,0.401434
0-20,1.167381178,0.401434
0-20,1.889178401,0.396081
0-20,1.79813941,0.370996
0-20,1.924500317,0.378652
0-20,1.899195117,0.378652
0-20,1.833693596,0.378652
20-40,1.768744361,0.378652
20-40,1.592652089,0.378652
0-20,2.052854551,0.399646
0-20,2.019301339,0.399646
0-20,1.943249026,0.399646
20-40,1.824685225,0.399646
20-40,1.647134608,0.399646
0-20,0.996474887,0.375984
0-20,0.962056891,0.375984
0-20,0.956045542,0.375984
20-40,1.016072244,0.375984
20-40,0.945587552,0.375984
0-20,1.844516441,0.352671
0-20,1.718272573,0.352671
0-20,1.867379418,0.352671
20-40,1.924498508,0.352671
20-40,1.805313561,0.352671
0-20,1.730432067,0.370996
0-20,1.701306121,0.370996
20-40,1.77214198,0.370996
20-40,1.727843076,0.370996
0-20,1.484450321,0.370996
0-20,1.366349429,0.370996
20-40,1.167440887,0.370996
20-40,1.07317097,0.370996
0-20,1.360886113,0.370996
0-20,0.981773382,0.370996
20-40,0.809929536,0.370996
20-40,0.700785066,0.370996
0-20,0.894623206,0.419549
0-20,0.718531947,0.419549
20-40,0.596049716,0.419549
20-40,0.633838277,0.419549
0-20,1.454283965,0.467418
0-20,1.180286549,0.467418
20-40,1.05803782,0.467418
0-20,1.700526159,0.467418
0-20,1.572193743,0.467418
20-40,1.152824016,0.467418
0-20,1.388337628,0.467418
0-20,1.247718149,0.467418
20-40,0.975085211,0.467418
0-20,1.660723725,0.467418
0-20,1.582527317,0.467418
20-40,1.183968401,0.467418
0-20,1.023188237,0.404515
0-20,1.006705587,0.290662
0-20,0.91944421,0.462829
0-20,1.842507393,0.36229
0-20,1.711763578,0.36229
0-20,1.861650908,0.36229
20-40,1.920520441,0.36229
20-40,1.798160258,0.36229
0-20,0.997876179,0.375984
0-20,0.959179199,0.375984
0-20,0.955482963,0.375984
20-40,1.015042403,0.375984
20-40,0.943829209,0.375984
0-20,1.149226538,0.404515
0-20,1.21664933,0.404515
0-20,1.115506701,0.401434
0-20,1.957013138,0.448005
0-20,1.765757937,0.448005
0-20,2.092467993,0.448005
0-20,1.938159331,0.448005
0-20,2.001491409,0.448005
0-20,1.821539729,0.448005
0-20,2.097711127,0.485953
20-40,2.119476188,0.485953
0-20,2.052683786,0.376985
20-40,2.034916623,0.376985
0-20,0.942611212,0.404515
0-20,0.530507087,0.404515
0-20,0.942611212,0.404515
0-20,0.482679283,0.404515
0-20,0.969747597,0.404515
0-20,0.58951177,0.404515
0-20,1.122221155,0.404515
0-20,0.685003291,0.404515
0-20,0.956391318,0.404515
0-20,0.565243195,0.404515
0-20,1.006048267,0.404515
0-20,0.652052881,0.404515
0-20,1.016548697,0.404515
0-20,0.573586355,0.404515
0-20,1.033963908,0.404515
0-20,0.634590145,0.404515
0-20,1.062780507,0.404515
0-20,0.694373546,0.404515
0-20,1.019518431,0.404515
0-20,0.641712048,0.404515
0-20,0.908034439,0.401434
0-20,0.561168226,0.401434
0-20,0.874463296,0.401434
0-20,0.497515721,0.401434
0-20,0.872468652,0.401434
0-20,0.467318019,0.401434
0-20,1.023881044,0.401434
0-20,0.678562112,0.401434
0-20,0.892602129,0.401434
0-20,0.516773311,0.401434
0-20,0.925163519,
0-20,0.511391327,
0-20,1.198885752,0.25754
0-20,0.78521594,0.25754
0-20,1.29345979,0.352986
0-20,0.717544023,0.352986
0-20,1.94732587,0.393078
0-20,1.891660091,0.393078
20-40,1.992845011,0.393078
0-20,1.95273434,0.393078
0-20,1.931813704,0.393078
20-40,1.948295573,0.393078
0-20,1.154484837,0.448005
0-20,2.043582317,0.430922
20-40,2.126170385,0.430922
20-40,2.046276596,0.430922
0-20,0.970607222,0.404515
0-20,0.511509071,0.404515
0-20,0.998750945,0.404515
0-20,0.671291388,0.404515
0-20,1.011330216,0.401434
0-20,0.642757282,0.401434
0-20,1.237630689,0.304471
0-20,2.120402548,0.421577
0-20,1.95273434,0.393078
0-20,1.931813704,0.393078
20-40,1.856897985,0.393078
0-20,1.94732587,0.393078
0-20,1.891660091,0.393078
20-40,1.948295573,0.393078
0-20,1.239559728,0.304837
20-40,1.202673547,0.304837
0-20,1.352505127,0.452064
0-20,1.379991143,0.452064
0-20,1.252616167,0.452064
0-20,1.398610736,0.452064
0-20,1.252616167,0.452064
0-20,1.198263295,0.452064
0-20,1.262701627,0.452064
0-20,1.247484226,0.452064
0-20,1.540478636,0.452064
0-20,1.252616167,0.452064
0-20,1.335921436,0.452064
0-20,1.426835154,0.452064
0-20,1.242290916,0.452064
0-20,1.262701627,0.452064
0-20,1.198263295,0.452064
0-20,1.162107769,0.452064
0-20,0.920553232,0.330513
0-20,1.163852236,0.375984
0-20,0.675140175,0.388062
0-20,1.163852236,0.460914
0-20,0.776340817,0.32009
0-20,0.804891467,0.380514
0-20,0.920553232,0.333288
0-20,0.675140175,0.418363
0-20,0.675140175,0.445067
0-20,0.785158931,0.335694
0-20,0.804891467,0.442389
0-20,0.675140175,0.384287
0-20,0.675140175,0.375984
0-20,0.675140175,0.412472
0-20,0.675140175,0.370542
0-20,0.776340817,0.299392
0-20,1.163852236,0.341
0-20,0.985644689,0.416763
0-20,0.675140175,0.403256
0-20,1.030194785,0.41547
0-20,1.093981704,0.41547
20-40,1.072617477,0.41547
20-40,1.173535895,0.41547
0-20,1.122019172,0.41547
0-20,1.224377652,0.41547
20-40,1.151614972,0.41547
20-40,1.224688417,0.41547
0-20,1.15192118,0.41547
0-20,1.11320777,0.41547
20-40,1.115011071,0.41547
20-40,1.098712931,0.41547
0-20,1.112605002,0.41547
0-20,1.218220304,0.41547
20-40,1.240049772,0.41547
20-40,1.230039981,0.41547
0-20,1.151431144,0.41547
0-20,1.242789809,0.41547
20-40,1.258301976,0.41547
20-40,1.145631415,0.41547
0-20,0.792593379,0.48736
0-20,0.416593914,0.48736
20-40,0.241506635,0.48736
20-40,0.39814842,0.48736
0-20,0.637393654,0.48736
0-20,0.416314248,0.48736
20-40,0.305351369,0.48736
20-40,0.377626753,0.48736
0-20,0.801176015,
