layer,log_stock,pH
0-20,1.415267232,6
0-20,1.3502771,6.6999998
0-20,1.372021892,6.6999998
0-20,1.060468926,6.6999998
0-20,0.938183367,6.1999998
0-20,0.9007439,5.26
0-20,0.548870745,5.55
20-40,0.25411284,5.73
20-40,0.098048109,5.95
0-20,1.089307988,5.17
0-20,0.568595931,5.49
20-40,0.317294287,5.68
20-40,0.051715775,5.82
0-20,1.154707526,4.95
0-20,0.767534317,5.71
20-40,0.657602681,5.87
20-40,0.421899936,6.02
20-40,1.308090379,5.48
0-20,1.484185944,4.79
0-20,1.390040207,4.62
0-20,2.01099495,4.54
20-40,2.09067345,4.58
20-40,2.041003225,4.6
0-20,1.711623758,6.6999998
0-20,1.727612495,6.6999998
20-40,1.626430297,7.0999999
20-40,1.65051809,7.0999999
0-20,1.826610068,6.6999998
0-20,1.571962023,6.6999998
20-40,1.58342856,7.0999999
20-40,1.515354631,7.0999999
0-20,0.547085225,4.6
0-20,0.878273589,5
0-20,1.167381178,4.8
0-20,1.889178401,6.6999998
0-20,1.79813941,6.6999998
0-20,1.924500317,6.6999998
0-20,1.899195117,6.6999998
0-20,1.833693596,6.6999998
20-40,1.768744361,7.0999999
20-40,1.592652089,7.0999999
0-20,2.052854551,6
0-20,2.019301339,6
0-20,1.943249026,6
20-40,1.824685225,6
20-40,1.647134608,6
0-20,0.996474887,6.6999998
0-20,0.962056891,6.6999998
0-20,0.956045542,6.6999998
20-40,1.016072244,7.0999999
20-40,0.945587552,7.0999999
0-20,1.844516441,6
0-20,1.718272573,6
0-20,1.867379418,6
20-40,1.924498508,6
20-40,1.805313561,6
0-20,1.730432067,4.13498
0-20,1.701306121,3.99081
20-40,1.77214198,3.99081
20-40,1.727843076,3.91318
0-20,1.484450321,4.39005
0-20,1.366349429,4.25142
20-40,1.167440887,4.22924
20-40,1.07317097,4.18488
0-20,1.360886113,4.18488
0-20,0.981773382,4.20152
20-40,0.809929536,4.24033
20-40,0.700785066,4.29024
0-20,0.894623206,4.81147
0-20,0.718531947,4.8281
20-40,0.596049716,4.81701
20-40,0.633838277,4.80592
0-20,1.454283965,6
0-20,1.180286549,6
20-40,1.05803782,6
0-20,1.700526159,6.0999999
0-20,1.572193743,6
20-40,1.152824016,6
0-20,1.388337628,6
0-20,1.247718149,6
20-40,0.975085211,6
0-20,1.660723725,6
0-20,1.582527317,6
20-40,1.183968401,6
0-20,1.023188237,5.53
0-20,1.006705587,5.57
0-20,0.91944421,4.65
0-20,1.842507393,4.78151
0-20,1.711763578,4.72
0-20,1.861650908,4.89
20-40,1.920520441,4.74
20-40,1.798160258,4.82
0-20,0.997876179,4.86
0-20,0.959179199,5.08
0-20,0.955482963,5.27
20-40,1.015042403,5.36
20-40,0.943829209,5.42
0-20,1.149226538,4.68
0-20,1.21664933,5.04
0-20,1.115506701,4.87
0-20,1.957013138,3.9
0-20,1.765757937,4
0-20,2.092467993,4.1
0-20,1.938159331,4.1
0-20,2.001491409,4.3
0-20,1.821539729,4.1
0-20,2.097711127,4.19
20-40,2.119476188,4.23
0-20,2.052683786,4.88462
20-40,2.034916623,4.88462
0-20,0.942611212,4.57
0-20,0.530507087,4.67
0-20,0.942611212,4.86
0-20,0.482679283,4.98
0-20,0.969747597,4.81
0-20,0.58951177,4.88
0-20,1.122221155,4.87
0-20,0.685003291,5.12
0-20,0.956391318,4.97
0-20,0.565243195,5.13
0-20,1.006048267,4.8
0-20,0.652052881,4.91
0-20,1.016548697,4.94
0-20,0.573586355,5.01
0-20,1.033963908,4.92
0-20,0.634590145,5.04
0-20,1.062780507,5.04
0-20,0.694373546,5.09
0-20,1.019518431,4.99
0-20,0.641712048,5.14
0-20,0.908034439,4.76
0-20,0.561168226,4.82
0-20,0.874463296,4.84
0-20,0.497515721,4.95
0-20,0.872468652,5.05
0-20,0.467318019,5.1
0-20,1.023881044,4.77
0-20,0.678562112,4.85
0-20,0.892602129,4.95
0-20,0.516773311,5.05
0-20,0.925163519,4.72
0-20,0.511391327,4.88
0-20,1.198885752,4.8
0-20,0.78521594,5.21
0-20,1.29345979,5.6
0-20,0.717544023,5.49
0-20,1.94732587,4.84
0-20,1.891660091,5.04
20-40,1.992845011,5.05
0-20,1.95273434,4.49
0-20,1.931813704,4.8
20-40,1.948295573,4.83
0-20,1.154484837,5.2
0-20,2.043582317,4.5
20-40,2.126170385,4.6
20-40,2.046276596,4.6
0-20,0.970607222,4.98
0-20,0.511509071,5.13
0-20,0.998750945,4.99
0-20,0.671291388,5.09
0-20,1.011330216,4.98
0-20,0.642757282,5.09
0-20,1.237630689,6.1999998
0-20,2.120402548,6
0-20,1.95273434,6.6999998
0-20,1.931813704,6.6999998
20-40,1.856897985,7.0999999
0-20,1.94732587,6.6999998
0-20,1.891660091,6.6999998
20-40,1.948295573,7.0999999
0-20,1.239559728,5.9
20-40,1.202673547,5.7
0-20,1.352505127,4.8
0-20,1.379991143,4.82
0-20,1.252616167,5.38
0-20,1.398610736,5.61
0-20,1.252616167,5.63
0-20,1.198263295,5.57
0-20,1.262701627,5.98
0-20,1.247484226,6.14
0-20,1.540478636,4.79
0-20,1.252616167,4.82
0-20,1.335921436,6.31
0-20,1.426835154,6.13
0-20,1.242290916,4.8
0-20,1.262701627,4.84
0-20,1.198263295,6.07
0-20,1.162107769,6.01
0-20,0.920553232,6.1999998
0-20,1.163852236,6.6999998
0-20,0.675140175,6.6999998
0-20,1.163852236,6
0-20,0.776340817,6.6999998
0-20,0.804891467,6.1999998
0-20,0.920553232,6.1999998
