Factor,Factor1,IncMSE,%IncMSE.pval,Group,R2
pH,Soil,17.23264,0.00990099,Permafrost,0.7164
MAT,Climate,17.00722,0.00990099,Permafrost,0.7164
MAP,Climate,14.17316,0.00990099,Permafrost,0.7164
MT,Plant,13.88796,0.00990099,Permafrost,0.7164
NDSI,Climate,13.75636,0.00990099,Permafrost,0.7164
MBC,Soil,12.16678,0.00990099,Permafrost,0.7164
NDVI,Plant,11.77589,0.00990099,Permafrost,0.7164
MBC,Soil,18.10269,0.00990099,Seasonal,0.7973
MAT,Climate,15.49988,0.00990099,Seasonal,0.7973
NDSI,Climate,15.09541,0.00990099,Seasonal,0.7973
NDVI,Plant,14.87349,0.00990099,Seasonal,0.7973
MAP,Climate,13.37069,0.00990099,Seasonal,0.7973
pH,Soil,11.75234,0.00990099,Seasonal,0.7973
MT,Plant,11.3055,0.00990099,Seasonal,0.7973
MBC,Soil,16.84376,0.00990099,Wetland,0.7248
MAT,Climate,15.29107,0.00990099,Wetland,0.7248
MAP,Climate,14.70165,0.00990099,Wetland,0.7248
NDSI,Climate,14.05373,0.00990099,Wetland,0.7248
NDVI,Plant,13.97811,0.00990099,Wetland,0.7248
pH,Soil,13.9512,0.00990099,Wetland,0.7248
MT,Plant,11.18048,0.00990099,Wetland,0.7248
MAT,Climate,19.770924,0.00990099,Forest,0.6756
MBC,Soil,18.702485,0.00990099,Forest,0.6756
NDSI,Climate,16.477827,0.00990099,Forest,0.6756
NDVI,Plant,16.407652,0.00990099,Forest,0.6756
MAP,Climate,14.71685,0.00990099,Forest,0.6756
pH,Soil,12.749868,0.00990099,Forest,0.6756
MT,Plant,,0.34653465,Forest,0.6756
pH,Soil,21.946099,0.00990099,Grassland,0.7895
NDSI,Climate,16.631569,0.00990099,Grassland,0.7895
MAP,Climate,14.424015,0.00990099,Grassland,0.7895
MBC,Soil,13.47318,0.00990099,Grassland,0.7895
MAT,Climate,13.422849,0.00990099,Grassland,0.7895
MT,Plant,10.930753,0.00990099,Grassland,0.7895
NDVI,Plant,,0.05940594,Grassland,0.7895
MAP,Climate,16.546778,0.00990099,All,0.7967
MBC,Soil,16.122665,0.00990099,All,0.7967
NDSI,Climate,15.781467,0.00990099,All,0.7967
MAT,Climate,15.587834,0.00990099,All,0.7967
NDVI,Plant,14.08481,0.00990099,All,0.7967
pH,Soil,12.315907,0.00990099,All,0.7967
MT,Plant,9.560539,0.00990099,All,0.7967
