lat,long,FT,ET,MT,log_stock,pH,MBC_g_kg,MBC,MBN,MAT,MAP,NDSI,TS,PS,MTW,MTC,MPW,MPC,bio_2,bio_7,bio_8,bio_9,bio_13,bio_14,bio_16,bio_17,NDVI,LAI,FPAR
52.93,122.87,Permafrost,Wetland,ErM,1.415267232,6,4.27432,0.2992024,0.1683419,-5.5,400,18.3852997,1726.839966,102.5009995,15.9499998,-26.2332993,300,14,15.5500002,60.0999985,15.9499998,-26.2332993,118,4,300,14,0.421577,3.402183406,0.741572052
48.17,128.65,Permafrost,Wetland,AM,1.3502771,6.6999998,0.93679,0.1030469,0.089492728,0.4,630,5.4612799,1584.400024,102.3300018,18.2999992,-20.7667007,390,20,13.7166996,57,18.2999992,-20.7667007,153,6,390,20,0.439049,3.599559471,0.72215859
48.13,128.65,Permafrost,Wetland,EcM,1.372021892,6.6999998,2.502366,0.240227136,0.102543751,0.4,630,7.5397801,1578.890015,101.8850021,18.3666992,-20.5667,392,22,13.6750002,56.7999992,18.3666992,-20.5667,153,6,392,22,0.415376,3.734801762,0.723303965
47.58,133.52,Seasonally frozen ground,Wetland,AM,1.060468926,6.6999998,0.961409,0.205741526,0.044297198,2.52,588,21.0009003,1566.76001,86.3098984,19.9832993,-18.75,340,27,10.7166996,53.0999985,19.9832993,-18.75,136,7,340,27,0.304837,1.891629956,0.558898678
47.58,133.48,Seasonally frozen ground,Wetland,NM,0.938183367,6.1999998,2.558976,0.619272192,0.032887052,2.52,588,24.4498997,1564.98999,86.1194992,19.9167004,-18.7667007,338,27,10.6750002,53.0999985,19.9167004,-18.7667007,135,7,338,27,0.304471,2.060352423,0.547400881
53.38,122.27,Permafrost,Forest,EcM,0.9007439,5.26,0.29,0.0609,0.188,-4.9,490,17.1676998,1675.359985,102.5469971,15.5,-25.4500008,293,14,14.875,58.4000015,15.5,-25.4500008,114,4,293,14,0.393888,3.125327511,0.727641921
53.38,122.27,Permafrost,Forest,EcM,0.548870745,5.55,0.164,0.050512,0.046,-4.9,490,17.1676998,1675.359985,102.5469971,15.5,-25.4500008,293,14,14.875,58.4000015,15.5,-25.4500008,114,4,293,14,0.393888,3.125327511,0.727641921
53.38,122.27,Permafrost,Forest,EcM,1.089307988,5.17,0.4,0.0904,0.276,-4.9,490,17.1676998,1675.359985,102.5469971,15.5,-25.4500008,293,14,14.875,58.4000015,15.5,-25.4500008,114,4,293,14,0.393888,3.125327511,0.727641921
53.38,122.27,Permafrost,Forest,EcM,0.568595931,5.49,0.193,0.054812,0.063,-4.9,490,17.1676998,1675.359985,102.5469971,15.5,-25.4500008,293,14,14.875,58.4000015,15.5,-25.4500008,114,4,293,14,0.393888,3.125327511,0.727641921
53.38,122.27,Permafrost,Forest,EcM,1.154707526,4.95,0.153,0.025398,0.128,-4.9,490,17.1676998,1675.359985,102.5469971,15.5,-25.4500008,293,14,14.875,58.4000015,15.5,-25.4500008,114,4,293,14,0.393888,3.125327511,0.727641921
