lat,long,FT,ET,MT,log_stock,pH,MBC_g_kg,MBC,MBN,MAT,MAP,NDSI,TS,PS,MTW,MTC,MPW,MPC,bio_2,bio_7,bio_8,bio_9,bio_16,bio_17,NDVI,LAI,FPAR
53.38,122.27,Permafrost,Forest,EcM,0.25411284,5.73,0.036,0.01224,0.025,-4.9,490,17.1676998,1675.359985,102.5469971,15.5,-25.4500008,293,14,14.875,58.4000015,15.5,-25.4500008,293,14,0.393888,3.125327511,0.727641921
53.38,122.27,Permafrost,Forest,EcM,0.098048109,5.95,0.031,0.010416,0.022,-4.9,490,17.1676998,1675.359985,102.5469971,15.5,-25.4500008,293,14,14.875,58.4000015,15.5,-25.4500008,293,14,0.393888,3.125327511,0.727641921
53.38,122.27,Permafrost,Forest,EcM,0.317294287,5.68,0.089,0.027056,0.034,-4.9,490,17.1676998,1675.359985,102.5469971,15.5,-25.4500008,293,14,14.875,58.4000015,15.5,-25.4500008,293,14,0.393888,3.125327511,0.727641921
53.38,122.27,Permafrost,Forest,EcM,0.051715775,5.82,0.065,0.01963,0.039,-4.9,490,17.1676998,1675.359985,102.5469971,15.5,-25.4500008,293,14,14.875,58.4000015,15.5,-25.4500008,293,14,0.393888,3.125327511,0.727641921
53.38,122.27,Permafrost,Forest,EcM,0.657602681,5.87,0.053,0.019398,0.004,-4.9,490,17.1676998,1675.359985,102.5469971,15.5,-25.4500008,293,14,14.875,58.4000015,15.5,-25.4500008,293,14,0.393888,3.125327511,0.727641921
53.38,122.27,Permafrost,Forest,EcM,0.421899936,6.02,0.025,0.00925,0.002,-4.9,490,17.1676998,1675.359985,102.5469971,15.5,-25.4500008,293,14,14.875,58.4000015,15.5,-25.4500008,293,14,0.393888,3.125327511,0.727641921
51.87,121.91,Permafrost,Forest,EcM,1.308090379,5.48,0.434342011,0.058201829,0.071743282,-4,500,6.7214298,1658.599976,106.3499985,14.7833004,-25.9167004,318,15,15.1499996,59.2000008,14.7833004,-25.9167004,318,15,0.353157,2.965938865,0.704803493
52.42,122.87,Permafrost,Wetland,ErM,2.09067345,4.58,3.743,1.025582,0.035699756,-3.9,452,12.1788998,1643.910034,103.3059998,14.8999996,-25.2999992,325,15,14.9750004,57.7999992,14.8999996,-25.2999992,325,15,0.430922,3.145414847,0.686331878
52.42,122.87,Permafrost,Wetland,ErM,2.041003225,4.6,3.268,0.895432,0.035699756,-3.9,452,12.1788998,1643.910034,103.3059998,14.8999996,-25.2999992,325,15,14.9750004,57.7999992,14.8999996,-25.2999992,325,15,0.430922,3.145414847,0.686331878
51.13,125.14,Permafrost,Wetland,AM,1.626430297,7.0999999,0.390397003,0.086668135,0.045767566,-2.4,522,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,331,15,0.370996,2.947161572,0.684847162
51.13,125.14,Permafrost,Wetland,AM,1.65051809,7.0999999,0.390397003,0.086668135,0.045767566,-2.4,522,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,331,15,0.370996,2.947161572,0.684847162
51.15,125.15,Permafrost,Wetland,EcM,1.58342856,7.0999999,0.389865997,0.106823283,0.037081751,-2.4,522,12.559,1608.349976,104.3000031,16.8167,-22.5832996,330,15,14.5417004,57.2000008,16.8167,-22.5832996,330,15,0.361417,2.58558952,0.662882096
51.15,125.15,Permafrost,Wetland,EcM,1.515354631,7.0999999,0.389865997,0.106823283,0.037081751,-2.4,522,12.559,1608.349976,104.3000031,16.8167,-22.5832996,330,15,14.5417004,57.2000008,16.8167,-22.5832996,330,15,0.361417,2.58558952,0.662882096
52.99,122.11,Permafrost,Forest,EcM,1.768744361,7.0999999,0.428622009,0.117442431,0.045145986,-4.2,438,9.2787199,1746.900024,104.1029968,15.9499998,-26.7999992,292,15,16.125,61.4000015,15.9499998,-22.2000008,292,15,0.378652,2.407423581,0.637379913
52.99,122.11,Permafrost,Forest,EcM,1.592652089,7.0999999,0.428622009,0.117442431,0.045145986,-4.2,438,9.2787199,1746.900024,104.1029968,15.9499998,-26.7999992,292,15,16.125,61.4000015,15.9499998,-22.2000008,292,15,0.378652,2.407423581,0.637379913
53.04,122.05,Permafrost,Forest,EcM,1.824685225,6,0.264035004,0.083435061,0.038046837,-4.2,438,12.1511002,1716.719971,103.7850037,15.6167002,-26.3666992,295,14,15.8416996,60.2999992,15.6167002,-26.3666992,295,14,0.399646,2.663318777,0.672489083
53.04,122.05,Permafrost,Forest,EcM,1.647134608,6,0.264035004,0.083435061,0.038046837,-4.2,438,12.1511002,1716.719971,103.7850037,15.6167002,-26.3666992,295,14,15.8416996,60.2999992,15.6167002,-26.3666992,295,14,0.399646,2.663318777,0.672489083
51.89,121.91,Permafrost,Forest,EcM,1.016072244,7.0999999,0.434451996,0.119039847,0.035086131,-4.2,438,4.9176002,1657.160034,106.5770035,14.7666998,-25.9167004,319,15,15.2166996,59.2000008,14.7666998,-25.9167004,319,15,0.375984,3.121834061,0.707772926
51.89,121.91,Permafrost,Forest,EcM,0.945587552,7.0999999,0.434451996,0.119039847,0.035086131,-4.2,438,4.9176002,1657.160034,106.5770035,14.7666998,-25.9167004,319,15,15.2166996,59.2000008,14.7666998,-25.9167004,319,15,0.375984,3.121834061,0.707772926
52.28,122.29,Permafrost,Forest,EcM,1.924498508,6,0.250276001,0.079087216,0.03072595,-4.2,438,17.6648006,1707.689941,105.0749969,14.9666996,-26.8500004,318,15,15.7082996,60.2000008,14.9666996,-26.8500004,318,15,0.352671,2.472052402,0.647510917
52.28,122.29,Permafrost,Forest,EcM,1.805313561,6,0.250276001,0.079087216,0.03072595,-4.2,438,17.6648006,1707.689941,105.0749969,14.9666996,-26.8500004,318,15,15.7082996,60.2000008,14.9666996,-26.8500004,318,15,0.352671,2.472052402,0.647510917
51.13,125.14,Permafrost,Forest,EcM,1.77214198,3.99081,0.983026,0.269349124,0.102322,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,331,15,0.370996,2.947161572,0.684847162
51.13,125.14,Permafrost,Forest,EcM,1.727843076,3.91318,0.866579,0.237442646,0.0913934,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,331,15,0.370996,2.947161572,0.684847162
51.13,125.14,Permafrost,Forest,EcM,1.167440887,4.22924,0.827763,0.226807062,0.0903005,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,331,15,0.370996,2.947161572,0.684847162
51.13,125.14,Permafrost,Forest,EcM,1.07317097,4.18488,0.858816,0.235315584,0.0875683,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,331,15,0.370996,2.947161572,0.684847162
51.13,125.14,Permafrost,Forest,EcM,0.809929536,4.24033,1.17711,0.32252814,0.0919399,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,331,15,0.370996,2.947161572,0.684847162
51.13,125.14,Permafrost,Forest,EcM,0.700785066,4.29024,1.35566,0.37145084,0.0903005,-2.3,500,12.1014004,1604.51001,104.9049988,16.7833004,-22.5167007,331,15,14.4582996,57,16.7833004,-18.7000008,331,15,0.370996,2.947161572,0.684847162
51.12,125.14,Permafrost,Forest,EcM,0.596049716,4.81701,0.408553,0.111943522,0.0913934,-2.3,500,12.1014004,1598.439941,105.1009979,16.6833,-22.4666996,334,14,14.4083004,56.7999992,16.6833,-22.4666996,334,14,0.419549,2.947161572,0.684847162
51.12,125.14,Permafrost,Forest,EcM,0.633838277,4.80592,0.369737,0.101307938,0.090847,-2.3,500,12.1014004,1598.439941,105.1009979,16.6833,-22.4666996,334,14,14.4083004,56.7999992,16.6833,-22.4666996,334,14,0.419549,2.947161572,0.684847162
52,123,Permafrost,Forest,EcM,1.05803782,6,0.246020004,0.077742321,0.030937342,-3,350,7.9060602,1591.900024,104.3330002,14.25,-24.6333008,351,16,14.6583004,56.2000008,14.25,-24.6333008,351,16,0.467418,3.226637555,0.695764192
52,123,Permafrost,Wetland,AM,1.152824016,6,0.246020004,0.077742321,0.030937342,-3,350,7.9060602,1591.900024,104.3330002,14.25,-24.6333008,351,16,14.6583004,56.2000008,14.25,-24.6333008,351,16,0.467418,3.226637555,0.695764192
