Type,Ecosystem,Ecosystem0,Mycorrhiza,soc_stock,log_stock,MAT
Permafrost,Wetland,Wetland,ErM,26.0176,1.415267232,-5.5
Permafrost,Wetland,Wetland,AM,22.4015,1.3502771,0.4
Permafrost,Wetland,Wetland,EcM,23.55168,1.372021892,0.4
Seasonal frozen ground,Wetland,Wetland,AM,11.49394,1.060468926,2.52
Seasonal frozen ground,Wetland,Wetland,NM,8.67328,0.938183367,2.52
Permafrost,Forest,Upland,EcM,7.9569,0.9007439,-4.9
Permafrost,Forest,Upland,EcM,3.53892,0.548870745,-4.9
Permafrost,Forest,Upland,EcM,12.2831,1.089307988,-4.9
Permafrost,Forest,Upland,EcM,3.70336,0.568595931,-4.9
Permafrost,Forest,Upland,EcM,14.27932,1.154707526,-4.9
Permafrost,Forest,Upland,EcM,5.8551,0.767534317,-4.9
Permafrost,Wetland,Wetland,NM,30.49200231,1.484185944,-2.2
Permafrost,Wetland,Wetland,NM,24.54936186,1.390040207,-2.2
Permafrost,Wetland,Wetland,ErM,102.564,2.01099495,-3.9
Permafrost,Wetland,Wetland,AM,51.478248,1.711623758,-2.4
Permafrost,Wetland,Wetland,AM,53.40876,1.727612495,-2.4
Permafrost,Wetland,Wetland,EcM,67.082628,1.826610068,-2.4
Permafrost,Wetland,Wetland,EcM,37.321752,1.571962023,-2.4
Permafrost,Forest,Upland,EcM,3.524400267,0.547085225,-4.9
Permafrost,Forest,Upland,EcM,7.555680572,0.878273589,-4.9
Permafrost,Forest,Upland,EcM,14.70216111,1.167381178,-4.9
Permafrost,Wetland,Wetland,AM,77.478,1.889178401,-4.2
Permafrost,Wetland,Wetland,AM,62.826,1.79813941,-3
Permafrost,Forest,Upland,EcM,84.042762,1.924500317,-4.2
Permafrost,Forest,Upland,EcM,79.285746,1.899195117,-4.2
Permafrost,Forest,Upland,EcM,68.185746,1.833693596,-4.2
Permafrost,Forest,Upland,EcM,112.94176,2.052854551,-4.2
Permafrost,Forest,Upland,EcM,104.544536,2.019301339,-4.2
Permafrost,Forest,Upland,EcM,87.750384,1.943249026,-4.2
Permafrost,Forest,Upland,EcM,9.9191598,0.996474887,-4.2
Permafrost,Forest,Upland,EcM,9.1634052,0.962056891,-4.2
Permafrost,Forest,Upland,EcM,9.0374424,0.956045542,-4.2
Permafrost,Forest,Upland,EcM,69.90632,1.844516441,-4.2
Permafrost,Forest,Upland,EcM,52.272416,1.718272573,-4.2
Permafrost,Forest,Upland,EcM,73.685056,1.867379418,-4.2
Permafrost,Forest,Upland,EcM,53.756634,1.730432067,-2.3
Permafrost,Forest,Upland,EcM,50.26968,1.701306121,-2.3
Permafrost,Forest,Upland,EcM,30.51057,1.484450321,-2.3
Permafrost,Forest,Upland,EcM,23.246064,1.366349429,-2.3
Permafrost,Forest,Upland,EcM,22.955466,1.360886113,-2.3
Permafrost,Forest,Upland,EcM,9.5890014,0.981773382,-2.3
Permafrost,Forest,Upland,EcM,7.8455466,0.894623206,-2.3
Permafrost,Forest,Upland,EcM,5.2303644,0.718531947,-2.3
Permafrost,Forest,Upland,EcM,28.46321578,1.454283965,-3
Permafrost,Forest,Upland,EcM,15.14560232,1.180286549,-3
Permafrost,Wetland,Wetland,AM,50.17948028,1.700526159,-3
Permafrost,Wetland,Wetland,AM,37.34167053,1.572193743,-3
Permafrost,Forest,Upland,EcM,24.45330858,1.388337628,-3
Permafrost,Forest,Upland,EcM,17.68960557,1.247718149,-3
Permafrost,Wetland,Wetland,AM,45.78505336,1.660723725,-3
Permafrost,Wetland,Wetland,AM,38.24083063,1.582527317,-3
Permafrost,Forest,Upland,EcM,10.54844,1.023188237,-3.3
Permafrost,Forest,Upland,EcM,10.1556,1.006705587,-3.3
Permafrost,Forest,Upland,EcM,8.307,0.91944421,-3.3
Permafrost,Forest,Upland,EcM,69.58368,1.842507393,-4.2
Permafrost,Forest,Upland,EcM,51.494824,1.711763578,-4.2
Permafrost,Forest,Upland,EcM,72.719504,1.861650908,-4.2
Permafrost,Forest,Upland,EcM,9.9512166,0.997876179,-4.2
Permafrost,Forest,Upland,EcM,9.102888,0.959179199,-4.2
Permafrost,Forest,Upland,EcM,9.025743,0.955482963,-4.2
Permafrost,Wetland,Wetland,EcM,14.10024107,1.149226538,-4.9
Permafrost,Wetland,Wetland,EcM,16.46832125,1.21664933,-4.9
Permafrost,Wetland,Wetland,EcM,13.04688099,1.115506701,-4.9
Permafrost,Forest,Upland,EcM,90.576,1.957013138,-3.9
Permafrost,Forest,Upland,EcM,58.312,1.765757937,-3.9
Permafrost,Wetland,Wetland,EcM,123.728,2.092467993,-3.9
Permafrost,Wetland,Wetland,EcM,86.728,1.938159331,-3.9
Permafrost,Wetland,Wetland,NM,100.344,2.001491409,-3.9
Permafrost,Wetland,Wetland,NM,66.304,1.821539729,-3.9
Permafrost,Wetland,Wetland,ErM,125.230792,2.097711127,-3.6
Permafrost,Wetland,Wetland,ErM,112.89736,2.052683786,-5
Permafrost,Wetland,Wetland,EcM,8.762160664,0.942611212,-4.1
Permafrost,Wetland,Wetland,EcM,3.392400257,0.530507087,-4.1
Permafrost,Wetland,Wetland,EcM,8.762160664,0.942611212,-4.1
Permafrost,Wetland,Wetland,EcM,3.03864023,0.482679283,-4.1
Permafrost,Wetland,Wetland,EcM,9.327120707,0.969747597,-4.1
Permafrost,Wetland,Wetland,EcM,3.886080294,0.58951177,-4.1
Permafrost,Wetland,Wetland,EcM,13.250161,1.122221155,-4.1
Permafrost,Wetland,Wetland,EcM,4.841760367,0.685003291,-4.1
Permafrost,Wetland,Wetland,EcM,9.044640685,0.956391318,-4.1
Permafrost,Wetland,Wetland,EcM,3.674880278,0.565243195,-4.1
Permafrost,Wetland,Wetland,EcM,10.14024077,1.006048267,-4.1
Permafrost,Wetland,Wetland,EcM,4.48800034,0.652052881,-4.1
Permafrost,Wetland,Wetland,EcM,10.38840079,1.016548697,-4.1
Permafrost,Wetland,Wetland,EcM,3.746160284,0.573586355,-4.1
Permafrost,Wetland,Wetland,EcM,10.81344082,1.033963908,-4.1
Permafrost,Wetland,Wetland,EcM,4.311120327,0.634590145,-4.1
Permafrost,Wetland,Wetland,EcM,11.55528088,1.062780507,-4.1
Permafrost,Wetland,Wetland,EcM,4.947360375,0.694373546,-4.1
Permafrost,Wetland,Wetland,EcM,10.45968079,1.019518431,-4.1
Permafrost,Wetland,Wetland,EcM,4.382400332,0.641712048,-4.1
Permafrost,Wetland,Wetland,EcM,8.091600613,0.908034439,-4.1
Permafrost,Wetland,Wetland,EcM,3.640560276,0.561168226,-4.1
Permafrost,Wetland,Wetland,EcM,7.489680567,0.874463296,-4.1
Permafrost,Wetland,Wetland,EcM,3.144240238,0.497515721,-4.1
Permafrost,Wetland,Wetland,EcM,7.455360565,0.872468652,-4.1
Permafrost,Wetland,Wetland,EcM,2.933040222,0.467318019,-4.1
Permafrost,Wetland,Wetland,EcM,10.5652808,1.023881044,-4.1
Permafrost,Wetland,Wetland,EcM,4.770480361,0.678562112,-4.1
Permafrost,Wetland,Wetland,EcM,7.809120592,0.892602129,-4.1
Permafrost,Wetland,Wetland,EcM,3.286800249,0.516773311,-4.1
Permafrost,Forest,Upland,EcM,8.41712,0.925163519,-4.9
Permafrost,Forest,Upland,EcM,3.24632,0.511391327,-4.9
Permafrost,Forest,Upland,EcM,15.8083212,1.198885752,-2.2
Permafrost,Forest,Upland,EcM,6.098400462,0.78521594,-2.2
Permafrost,Forest,Upland,EcM,19.6544,1.29345979,-3
Permafrost,Forest,Upland,EcM,5.21848,0.717544023,-3
Permafrost,Wetland,Wetland,EcM,89.688,1.95273434,-3.9
Permafrost,Wetland,Wetland,EcM,85.47,1.931813704,-3.9
