Type,Ecosystem,Ecosystem,Mycorrhiza,soc_stock,log_stock,MAT
Permafrost,Forest,Upland,EcM,1.7952,0.25411284,-4.9
Permafrost,Forest,Upland,EcM,1.25328,0.098048109,-4.9
Permafrost,Forest,Upland,EcM,2.07632,0.317294287,-4.9
Permafrost,Forest,Upland,EcM,1.12646,0.051715775,-4.9
Permafrost,Forest,Upland,EcM,4.54572,0.657602681,-4.9
Permafrost,Forest,Upland,EcM,2.6418,0.421899936,-4.9
Permafrost,Forest,Upland,EcM,20.3278,1.308090379,-4
Permafrost,Wetland,Wetland,ErM,123.2178,2.09067345,-3.9
Permafrost,Wetland,Wetland,ErM,109.9014,2.041003225,-3.9
Permafrost,Wetland,Wetland,AM,42.30876,1.626430297,-2.4
Permafrost,Wetland,Wetland,AM,44.721678,1.65051809,-2.4
Permafrost,Wetland,Wetland,EcM,38.32027,1.58342856,-2.4
Permafrost,Wetland,Wetland,EcM,32.76081,1.515354631,-2.4
Permafrost,Forest,Upland,EcM,58.714364,1.768744361,-4.2
Permafrost,Forest,Upland,EcM,39.142818,1.592652089,-4.2
Permafrost,Forest,Upland,EcM,66.785968,1.824685225,-4.2
Permafrost,Forest,Upland,EcM,44.374616,1.647134608,-4.2
Permafrost,Forest,Upland,EcM,10.3770102,1.016072244,-4.2
Permafrost,Forest,Upland,EcM,8.8224164,0.945587552,-4.2
Permafrost,Forest,Upland,EcM,84.042412,1.924498508,-4.2
Permafrost,Forest,Upland,EcM,63.872448,1.805313561,-4.2
Permafrost,Forest,Upland,EcM,59.175506,1.77214198,-2.3
Permafrost,Forest,Upland,EcM,53.437124,1.727843076,-2.3
Permafrost,Forest,Upland,EcM,14.7041826,1.167440887,-2.3
Permafrost,Forest,Upland,EcM,11.8350738,1.07317097,-2.3
Permafrost,Forest,Upland,EcM,6.4554948,0.809929536,-2.3
Permafrost,Forest,Upland,EcM,5.0209404,0.700785066,-2.3
Permafrost,Forest,Upland,EcM,3.9450246,0.596049716,-2.3
Permafrost,Forest,Upland,EcM,4.3036632,0.633838277,-2.3
Permafrost,Forest,Upland,EcM,11.42977865,1.05803782,-3
Permafrost,Wetland,Wetland,AM,14.21752552,1.152824016,-3
Permafrost,Forest,Upland,EcM,9.442461253,0.975085211,-3
Permafrost,Wetland,Wetland,AM,15.27454919,1.183968401,-3
Permafrost,Forest,Upland,EcM,83.276112,1.920520441,-4.2
Permafrost,Forest,Upland,EcM,62.829016,1.798160258,-4.2
Permafrost,Forest,Upland,EcM,10.3524324,1.015042403,-4.2
Permafrost,Forest,Upland,EcM,8.786769,0.943829209,-4.2
Permafrost,Wetland,Wetland,ErM,131.666772,2.119476188,-3.6
Permafrost,Wetland,Wetland,ErM,108.371884,2.034916623,-5
Permafrost,Wetland,Wetland,EcM,88.776,1.948295573,-3.9
Permafrost,Wetland,Wetland,ErM,133.712,2.126170385,-3.9
Permafrost,Wetland,Wetland,ErM,111.244,2.046276596,-3.9
Permafrost,Wetland,Wetland,EcM,71.928,1.856897985,-3.9
Permafrost,Wetland,Wetland,EcM,88.776,1.948295573,-3.9
Seasonal frozen ground,Wetland,Wetland,AM,15.9468,1.202673547,2.5
Permafrost,Wetland,Wetland,EcM,11.82,1.072617477,0.4
Permafrost,Wetland,Wetland,EcM,14.912,1.173535895,0.4
Permafrost,Wetland,Wetland,EcM,14.178,1.151614972,0.4
Permafrost,Wetland,Wetland,EcM,16.776,1.224688417,0.4
Permafrost,Wetland,Wetland,EcM,13.032,1.115011071,0.4
Permafrost,Wetland,Wetland,EcM,12.552,1.098712931,0.4
Permafrost,Wetland,Wetland,EcM,17.38,1.240049772,0.4
Permafrost,Wetland,Wetland,EcM,16.984,1.230039981,0.4
Permafrost,Wetland,Wetland,EcM,18.126,1.258301976,0.4
Permafrost,Wetland,Wetland,EcM,13.984,1.145631415,0.4
Permafrost,Wetland,Wetland,EcM,1.74384,0.241506635,-3
Permafrost,Wetland,Wetland,EcM,2.5012,0.39814842,-3
Permafrost,Wetland,Wetland,EcM,2.02,0.305351369,-3
Permafrost,Wetland,Wetland,EcM,2.38576,0.377626753,-3
Permafrost,Forest,Upland,EcM,20.13078,1.303860603,-2.12
Permafrost,Forest,Upland,EcM,15.58786,1.192786497,-2.12
Permafrost,Wetland,Wetland,ErM,107.49688,2.031395859,-4.3
Seasonal frozen ground,Wetland,Wetland,AM,14.39048,1.15807528,2.5
Permafrost,Forest,Upland,EcM,8.815452,0.945244585,-1.1
Permafrost,Forest,Upland,EcM,24.4120112,1.387603561,-5.3
Permafrost,Wetland,Wetland,EcM,12.19428,1.086156163,-3.9
Permafrost,Wetland,Wetland,EcM,8.7527,0.942142043,-3.9
Permafrost,Wetland,Wetland,EcM,17.5816758,1.245060268,-3.3
Permafrost,Wetland,Wetland,AM,18.49752,1.267113506,-3
Permafrost,Forest,Upland,EcM,3.49968,0.544028336,-3
Permafrost,Forest,Upland,EcM,9.74832,0.988929777,-3
Permafrost,Wetland,Wetland,EcM,4.77476,0.678951547,-3
Permafrost,Wetland,Wetland,EcM,2.3858,0.377634034,-3
Permafrost,Wetland,Wetland,EcM,3.34012,0.52376207,-3
Permafrost,Wetland,Wetland,EcM,138.408,2.141161193,-4.3
Seasonal frozen ground,Grassland,Upland,AM,2.80462,0.447874027,5.7
Seasonal frozen ground,Grassland,Upland,AM,1.68084,0.225526375,5.7
Seasonal frozen ground,Grassland,Upland,AM,1.76456,0.24663643,5.7
Seasonal frozen ground,Grassland,Upland,AM,1.44578,0.160102213,5.7
Seasonal frozen ground,Grassland,Upland,AM,1.29444,0.112081925,5.7
Seasonal frozen ground,Grassland,Upland,AM,2.75632,0.440329636,5.7
Seasonal frozen ground,Grassland,Upland,AM,1.74846,0.242655701,5.7
Seasonal frozen ground,Forest,Upland,EcM,8.97828,0.953193145,5.5
Seasonal frozen ground,Forest,Upland,EcM,9.03348,0.955855087,5.5
