Type,log_stock,MAT
Permafrost,1.415267232,-5.5
Permafrost,1.3502771,0.4
Permafrost,1.372021892,0.4
Seasonal frozen ground,1.060468926,2.52
Seasonal frozen ground,0.938183367,2.52
Permafrost,1.484185944,-2.2
Permafrost,1.390040207,-2.2
Permafrost,2.01099495,-3.9
Permafrost,1.711623758,-2.4
Permafrost,1.727612495,-2.4
Permafrost,1.826610068,-2.4
Permafrost,1.571962023,-2.4
Permafrost,1.889178401,-4.2
Permafrost,1.79813941,-3
Permafrost,1.700526159,-3
Permafrost,1.572193743,-3
Permafrost,1.660723725,-3
Permafrost,1.582527317,-3
Permafrost,1.149226538,-4.9
Permafrost,1.21664933,-4.9
Permafrost,1.115506701,-4.9
Permafrost,2.092467993,-3.9
Permafrost,1.938159331,-3.9
Permafrost,2.001491409,-3.9
Permafrost,1.821539729,-3.9
Permafrost,2.097711127,-3.6
Permafrost,2.052683786,-5
Permafrost,0.942611212,-4.1
Permafrost,0.530507087,-4.1
Permafrost,0.942611212,-4.1
Permafrost,0.482679283,-4.1
Permafrost,0.969747597,-4.1
Permafrost,0.58951177,-4.1
Permafrost,1.122221155,-4.1
Permafrost,0.685003291,-4.1
Permafrost,0.956391318,-4.1
Permafrost,0.565243195,-4.1
Permafrost,1.006048267,-4.1
Permafrost,0.652052881,-4.1
Permafrost,1.016548697,-4.1
Permafrost,0.573586355,-4.1
Permafrost,1.033963908,-4.1
Permafrost,0.634590145,-4.1
Permafrost,1.062780507,-4.1
Permafrost,0.694373546,-4.1
Permafrost,1.019518431,-4.1
Permafrost,0.641712048,-4.1
Permafrost,0.908034439,-4.1
Permafrost,0.561168226,-4.1
Permafrost,0.874463296,-4.1
Permafrost,0.497515721,-4.1
Permafrost,0.872468652,-4.1
Permafrost,0.467318019,-4.1
Permafrost,1.023881044,-4.1
Permafrost,0.678562112,-4.1
Permafrost,0.892602129,-4.1
Permafrost,0.516773311,-4.1
Permafrost,1.94732587,-3.9
Permafrost,1.891660091,-3.9
Permafrost,1.95273434,-3.9
Permafrost,1.931813704,-3.9
Permafrost,1.154484837,-3.9
Permafrost,2.043582317,-3.9
Permafrost,0.970607222,-4.9
Permafrost,0.511509071,-4.9
Permafrost,0.998750945,-4.9
Permafrost,0.671291388,-4.9
Permafrost,1.011330216,-4.9
Permafrost,0.642757282,-4.9
Seasonal frozen ground,1.237630689,1.9
Permafrost,2.120402548,-5.5
Permafrost,1.95273434,-3.9
Permafrost,1.931813704,-3.9
Permafrost,1.94732587,-3.9
Permafrost,1.891660091,-3.9
Seasonal frozen ground,1.239559728,2.5
Permafrost,1.030194785,0.4
Permafrost,1.093981704,0.4
Permafrost,1.122019172,0.4
Permafrost,1.224377652,0.4
Permafrost,1.15192118,0.4
Permafrost,1.11320777,0.4
Permafrost,1.112605002,0.4
Permafrost,1.218220304,0.4
Permafrost,1.151431144,0.4
Permafrost,1.242789809,0.4
Permafrost,0.792593379,-3
Permafrost,0.416593914,-3
Permafrost,0.637393654,-3
Permafrost,0.416314248,-3
Permafrost,1.61979524,-0.5
Seasonal frozen ground,,2.6
Seasonal frozen ground,,3.1
Seasonal frozen ground,,2.3
Seasonal frozen ground,,2.3
Seasonal frozen ground,0.438947787,7.7
Seasonal frozen ground,,8.7
Seasonal frozen ground,0.362909114,9
Seasonal frozen ground,0.335124995,8.3
Seasonal frozen ground,0.841135815,8.3
Seasonal frozen ground,0.775083924,8.3
Permafrost,2.03537754,-4
Seasonal frozen ground,1.942510055,4.1
Permafrost,1.863284783,-4
Permafrost,1.860989259,-0.5
Seasonal frozen ground,1.010206641,1.9
Permafrost,2.017710978,-4.3
Seasonal frozen ground,1.799059201,2.5
Permafrost,1.871618114,-3.9
Permafrost,2.015530338,-3.9
Permafrost,,-3.9
Permafrost,1.14850394,-3.9
Permafrost,1.14690287,-3.9
Permafrost,1.082785087,-3.3
Permafrost,1.360029639,-3
Permafrost,1.246260195,-3
Permafrost,1.314440279,-4.9
Permafrost,1.376248375,-4.9
Permafrost,1.500949647,-4.9
Permafrost,1.493474781,-4.9
Permafrost,1.297436584,-4.9
Permafrost,1.146580707,-4.9
Permafrost,1.45805437,-4.9
Permafrost,1.269527887,-3
Permafrost,0.714825813,-3
Permafrost,1.320649693,-3
Permafrost,0.808750972,-3
Permafrost,1.160955676,-3
Permafrost,1.048323697,-3
Permafrost,2.168521054,-4.3
Permafrost,1.947869758,-3.5
Permafrost,1.948991639,-3.5
Permafrost,1.906020253,-3.5
Permafrost,1.808605239,-3.5
Permafrost,2.001106908,-3
Permafrost,2.001683532,-3
Permafrost,1.999661987,-3
Permafrost,1.979113863,-3
Seasonal frozen ground,1.007863802,3.1
Seasonal frozen ground,0.979045504,3.1
Seasonal frozen ground,1.007476366,3.1
Seasonal frozen ground,1.29578694,3
Seasonal frozen ground,1.156609718,3
Seasonal frozen ground,1.233909453,3
Seasonal frozen ground,1.28546729,3
Seasonal frozen ground,1.285647309,3
Seasonal frozen ground,1.162862993,3
Seasonal frozen ground,1.240549248,3
Seasonal frozen ground,1.270119599,3
Seasonal frozen ground,1.951196812,3.1
Seasonal frozen ground,1.951196812,3.1
Seasonal frozen ground,2.004445882,3.1
Seasonal frozen ground,1.989142855,3.1
Seasonal frozen ground,1.07471407,1.9
Permafrost,1.711915831,-2.2
Permafrost,1.727233238,-2.2
Permafrost,1.626658118,-2.2
Seasonal frozen ground,1.106427535,2.5
Seasonal frozen ground,1.170591798,1.9
Seasonal frozen ground,1.402031858,1.9
Seasonal frozen ground,1.529976711,1.9
Seasonal frozen ground,1.339262323,1.9
Seasonal frozen ground,-0.563455723,4.6
Seasonal frozen ground,-0.684029655,4.6
Seasonal frozen ground,0.219060332,4.5
Seasonal frozen ground,-0.077648289,4.5
Seasonal frozen ground,1.162110161,1.9
Seasonal frozen ground,0.916284143,2.3
Seasonal frozen ground,1.045083464,2.5
Seasonal frozen ground,1.067361777,2.5
Seasonal frozen ground,1.025417293,1.9
Seasonal frozen ground,0.908883743,1.9
Seasonal frozen ground,0.954265671,1.9
Seasonal frozen ground,0.460963959,11
Seasonal frozen ground,1.14527847,1.9
Seasonal frozen ground,1.326992542,2.5
Seasonal frozen ground,1.158731486,2.5
Seasonal frozen ground,1.23802602,1.7
Seasonal frozen ground,0.839402621,1.7
Seasonal frozen ground,1.230448921,1.7
Seasonal frozen ground,0.680081572,1.7
Seasonal frozen ground,0.829020585,1.7
Seasonal frozen ground,0.610660163,1.7
Seasonal frozen ground,0.667565014,1.7
Seasonal frozen ground,0.510115865,1.7
Seasonal frozen ground,1.237821115,1.7
Seasonal frozen ground,0.83974445,1.7
Seasonal frozen ground,1.230587873,1.7
Seasonal frozen ground,0.679340666,1.7
Seasonal frozen ground,0.829720496,1.7
Seasonal frozen ground,0.610080717,1.7
Seasonal frozen ground,0.667565014,1.7
Seasonal frozen ground,0.511573231,1.7
Seasonal frozen ground,0.570584966,1.9
Seasonal frozen ground,0.731427587,1.9
Seasonal frozen ground,0.951030392,1.9
Seasonal frozen ground,0.896548262,1.9
Seasonal frozen ground,0.676678981,1.9
Seasonal frozen ground,0.811414126,1.9
Seasonal frozen ground,0.870570099,1.9
Seasonal frozen ground,0.908324139,1.9
Seasonal frozen ground,0.956480588,2
Seasonal frozen ground,0.928530012,2
Seasonal frozen ground,0.836873284,2
Seasonal frozen ground,0.989114178,2
Seasonal frozen ground,0.837854741,2
Seasonal frozen ground,0.71015292,2
Seasonal frozen ground,1.010242273,2
Seasonal frozen ground,1.033525079,2
Seasonal frozen ground,0.961039317,2
Seasonal frozen ground,0.991185303,2
Seasonal frozen ground,0.855286501,2
Seasonal frozen ground,0.705998767,2
Seasonal frozen ground,0.97982143,1.9
Seasonal frozen ground,0.787262057,1.9
Seasonal frozen ground,1.077043608,2
Seasonal frozen ground,1.066706745,2
Seasonal frozen ground,1.123360905,2
Seasonal frozen ground,1.186383299,2
Seasonal frozen ground,1.106552602,2
Seasonal frozen ground,1.235729388,2
Seasonal frozen ground,0.640775505,2
Seasonal frozen ground,0.976521462,2
Seasonal frozen ground,1.12699848,2
Seasonal frozen ground,1.114080968,2
Seasonal frozen ground,1.131255424,1.9
Seasonal frozen ground,0.942510055,1.9
Seasonal frozen ground,1.156609113,1.9
Seasonal frozen ground,0.899467016,1.9
Seasonal frozen ground,1.775943777,1.9
Seasonal frozen ground,1.370016893,1.9
Seasonal frozen ground,1.313713714,1.9
Seasonal frozen ground,1.267935415,1.9
Seasonal frozen ground,1.358586181,1.9
Seasonal frozen ground,1.083147729,1.9
Seasonal frozen ground,1.02057092,1.9
Seasonal frozen ground,1.004364371,1.9
Seasonal frozen ground,1.007408059,1.9
Seasonal frozen ground,1.001587481,1.9
Seasonal frozen ground,1.006364196,1.9
Seasonal frozen ground,1.009676908,1.9
Seasonal frozen ground,0.979968809,1.9
Seasonal frozen ground,0.948058734,1.9
Seasonal frozen ground,0.965728369,1.9
Seasonal frozen ground,0.918707476,1.9
Seasonal frozen ground,0.986917669,1.9
Seasonal frozen ground,0.92389549,1.9
Seasonal frozen ground,0.974995917,1.9
Seasonal frozen ground,0.929022259,1.9
Seasonal frozen ground,1.001667958,1.9
Seasonal frozen ground,0.975412506,1.9
Seasonal frozen ground,1.461508431,1.9
Seasonal frozen ground,1.175838716,1.9
Seasonal frozen ground,1.449609208,1.9
Seasonal frozen ground,1.215526002,1.9
Seasonal frozen ground,1.437374751,1.9
Seasonal frozen ground,1.215526002,1.9
Seasonal frozen ground,1.457547649,1.9
Seasonal frozen ground,1.179584534,1.9
Seasonal frozen ground,1.461508431,1.9
Seasonal frozen ground,1.205019668,1.9
Seasonal frozen ground,1.029156424,1.9
Seasonal frozen ground,0.874344956,1.9
Seasonal frozen ground,0.8722099,1.9
Seasonal frozen ground,0.717815244,1.9
Seasonal frozen ground,1.46146401,1.9
Seasonal frozen ground,1.00607907,1.9
Seasonal frozen ground,0.99490813,1.9
Seasonal frozen ground,1.011933965,1.9
Seasonal frozen ground,0.927733663,1.9
Seasonal frozen ground,1.324305096,1.9
Seasonal frozen ground,1.190970062,1.9
Seasonal frozen ground,0.648798963,1.9
Seasonal frozen ground,0.872076985,1.9
Seasonal frozen ground,0.644271142,1.9
Seasonal frozen ground,1.06483222,1.9
Seasonal frozen ground,0.928178651,1.9
Seasonal frozen ground,0.900552825,1.9
Seasonal frozen ground,1.035992955,1.9
Seasonal frozen ground,1.039334789,1.9
Seasonal frozen ground,1.854073951,1.9
Seasonal frozen ground,1.772131661,1.9
Seasonal frozen ground,1.732941108,1.9
Seasonal frozen ground,1.253764335,1.9
