Type,log_stock,MTC
Permafrost,0.9007439,-25.4500008
Permafrost,0.548870745,-25.4500008
Permafrost,1.089307988,-25.4500008
Permafrost,0.568595931,-25.4500008
Permafrost,1.154707526,-25.4500008
Permafrost,0.767534317,-25.4500008
Permafrost,0.547085225,-27.1833
Permafrost,0.878273589,-27.1833
Permafrost,1.167381178,-27.1833
Permafrost,1.924500317,-26.7999992
Permafrost,1.899195117,-26.7999992
Permafrost,1.833693596,-26.7999992
Permafrost,2.052854551,-26.3666992
Permafrost,2.019301339,-26.3666992
Permafrost,1.943249026,-26.3666992
Permafrost,0.996474887,-25.9167004
Permafrost,0.962056891,-25.9167004
Permafrost,0.956045542,-25.9167004
Permafrost,1.844516441,-26.8500004
Permafrost,1.718272573,-26.8500004
Permafrost,1.867379418,-26.8500004
Permafrost,1.730432067,-22.5167007
Permafrost,1.701306121,-22.5167007
Permafrost,1.484450321,-22.5167007
Permafrost,1.366349429,-22.5167007
Permafrost,1.360886113,-22.5167007
Permafrost,0.981773382,-22.5167007
Permafrost,0.894623206,-22.4666996
Permafrost,0.718531947,-22.4666996
Permafrost,1.454283965,-24.6333008
Permafrost,1.180286549,-24.6333008
Permafrost,1.388337628,-24.6333008
Permafrost,1.247718149,-24.6333008
Permafrost,1.023188237,-27.1333008
Permafrost,1.006705587,-27.25
Permafrost,0.91944421,-25.9500008
Permafrost,1.842507393,-26.8666992
Permafrost,1.711763578,-26.8666992
Permafrost,1.861650908,-26.8666992
Permafrost,0.997876179,-25.9167004
Permafrost,0.959179199,-25.9167004
Permafrost,0.955482963,-25.9167004
Permafrost,1.957013138,-26.3332996
Permafrost,1.765757937,-26.3332996
Permafrost,0.925163519,-27.1667004
Permafrost,0.511391327,-27.1667004
Permafrost,1.198885752,-23.7332993
Permafrost,0.78521594,-23.7332993
Permafrost,1.29345979,-21.9666996
Permafrost,0.717544023,-21.9666996
Seasonal frozen ground,1.352505127,-16.1833
Seasonal frozen ground,1.379991143,-16.1833
Seasonal frozen ground,1.252616167,-16.1833
Seasonal frozen ground,1.398610736,-16.1833
Seasonal frozen ground,1.252616167,-16.1833
Seasonal frozen ground,1.198263295,-16.1833
Seasonal frozen ground,1.262701627,-16.1833
Seasonal frozen ground,1.247484226,-16.1833
Seasonal frozen ground,1.540478636,-16.1833
Seasonal frozen ground,1.252616167,-16.1833
Seasonal frozen ground,1.335921436,-16.1833
Seasonal frozen ground,1.426835154,-16.1833
Seasonal frozen ground,1.242290916,-16.1833
Seasonal frozen ground,1.262701627,-16.1833
Seasonal frozen ground,1.198263295,-16.1833
Seasonal frozen ground,1.162107769,-16.1833
Permafrost,0.920553232,-16.5499992
Permafrost,1.163852236,-25.9167004
Permafrost,0.675140175,-20.8666992
Permafrost,1.163852236,-21.8833008
Permafrost,0.776340817,-24.6333008
Permafrost,0.804891467,-20.2332993
Permafrost,0.920553232,-22.6667004
Permafrost,0.675140175,-25.0499992
Permafrost,0.675140175,-25.1166992
Permafrost,0.785158931,-25.9333
Permafrost,0.804891467,-15.8332996
Permafrost,0.675140175,-25.1000004
Permafrost,0.675140175,-25.9167004
Permafrost,0.675140175,-25.1166992
Permafrost,0.675140175,-23.8666992
Permafrost,0.776340817,-25.8666992
Permafrost,1.163852236,-18.6667004
Permafrost,0.985644689,-27.6667004
Permafrost,0.675140175,-25.1000004
Permafrost,0.801176015,-21.0832996
Permafrost,0.940941554,-20.1499996
Seasonal frozen ground,1.030798763,-15.1332998
Seasonal frozen ground,,-14.7833004
Seasonal frozen ground,,-14.3332996
Seasonal frozen ground,0.706046161,-20.2667007
Permafrost,1.163703614,-22.8500004
Seasonal frozen ground,1.20370413,-19.3999996
Permafrost,0.534491376,-22.8500004
Permafrost,1.211599963,-23.6667004
Permafrost,,-27.0667
Seasonal frozen ground,,-14.5500002
Seasonal frozen ground,,-14.7833004
Seasonal frozen ground,0.99997988,-20.3167
Seasonal frozen ground,1.20370413,-19.3999996
Seasonal frozen ground,,-11.8332996
Seasonal frozen ground,0.739225312,-16.4666996
Seasonal frozen ground,0.316738754,-15.1999998
Seasonal frozen ground,0.938904966,-13.6833
Seasonal frozen ground,0.628922061,-14.7833004
Seasonal frozen ground,1.272180948,-17.2000008
Seasonal frozen ground,0.769397923,-20.3332996
Seasonal frozen ground,0.72437092,-16.6833
Seasonal frozen ground,,-14.3332996
Permafrost,,-18.9333
Seasonal frozen ground,0.979047433,-15.6999998
Seasonal frozen ground,0.217728153,-14.0333004
Seasonal frozen ground,0.727514839,-15.6999998
Seasonal frozen ground,,-18.3999996
Seasonal frozen ground,,-14.5333004
Seasonal frozen ground,1.064318982,-14.7833004
Seasonal frozen ground,,-16.8332996
Seasonal frozen ground,0.685170018,-14.3667002
Seasonal frozen ground,0.979829241,-15.7833004
Seasonal frozen ground,1.131027402,-19.3833008
Seasonal frozen ground,0.454579643,-15.1167002
Seasonal frozen ground,0.675663532,-14.8167
Permafrost,1.099265531,-21.5
Seasonal frozen ground,1.028620311,-14.5
Seasonal frozen ground,,-19.1667004
Seasonal frozen ground,0.722255861,-17.0167007
Seasonal frozen ground,0.794661075,-18.7000008
Seasonal frozen ground,0.733651492,-15.0166998
Seasonal frozen ground,0.920738135,-17.1499996
Seasonal frozen ground,1.131027402,-19.3833008
Seasonal frozen ground,0.652708399,-11.2666998
Seasonal frozen ground,1.359100028,-15.1000004
Seasonal frozen ground,,-15.0166998
Seasonal frozen ground,,-16.2332993
Seasonal frozen ground,0.995176933,-10.1667004
Seasonal frozen ground,0.227284086,-11.5333004
Seasonal frozen ground,0.866417559,-13.8832998
Seasonal frozen ground,0.511216254,-12.7833004
Seasonal frozen ground,0.947404151,-10.1667004
Seasonal frozen ground,1.077987228,-13.3000002
Seasonal frozen ground,1.302940311,-14.1332998
Seasonal frozen ground,1.298082736,-13.75
Seasonal frozen ground,,-13.8167
Seasonal frozen ground,0.738545133,-14.4833002
Seasonal frozen ground,1.103287691,-15.0166998
Seasonal frozen ground,,-14.2833004
Seasonal frozen ground,0.315400434,-14.7666998
Seasonal frozen ground,1.231703698,-14.9833002
Seasonal frozen ground,0.520782835,-12.3000002
Seasonal frozen ground,0.368875537,-11.8999996
Seasonal frozen ground,0.452238394,-11.8832998
Seasonal frozen ground,0.783757712,-11.6499996
Seasonal frozen ground,,-12.1999998
Seasonal frozen ground,,-10.1667004
Seasonal frozen ground,,-2.6333301
Seasonal frozen ground,0.670917097,-8.5
Seasonal frozen ground,,-9.6666698
Seasonal frozen ground,0.717859636,-13.1667004
Seasonal frozen ground,,-1.85
Seasonal frozen ground,,-1.85
Seasonal frozen ground,-0.095652281,-7.75
Seasonal frozen ground,-0.449927789,-7.6500001
Seasonal frozen ground,0.573210943,-1.7
Seasonal frozen ground,,-8.0166702
Seasonal frozen ground,,-7.7333298
Seasonal frozen ground,,-1.85
Seasonal frozen ground,,-8.8666697
Seasonal frozen ground,,-9.3000002
Seasonal frozen ground,,-8.6499996
Seasonal frozen ground,0.914722239,-7.3166699
Seasonal frozen ground,0.497205539,-10.3167
Seasonal frozen ground,0.719169726,-13.1667004
Seasonal frozen ground,0.589978094,-7.78333
Seasonal frozen ground,0.380882485,-7.5500002
Seasonal frozen ground,,-7.7333298
Seasonal frozen ground,0.350432414,-9.7333298
Seasonal frozen ground,-0.044751014,-10
Seasonal frozen ground,,-9.0166702
Seasonal frozen ground,0.353590933,-9.3833303
Seasonal frozen ground,-0.024776168,-7.7333298
Permafrost,1.344917433,-24.7833004
Permafrost,1.297243897,-23.2833004
Permafrost,1.178734135,-23.2166996
Permafrost,1.280027168,-19.1333008
Permafrost,1.033346541,-19.1333008
Permafrost,1.848227998,-25.7667007
Permafrost,1.510475732,-25.7667007
Permafrost,0.981770601,-25.4500008
Permafrost,1.011824096,-25.4500008
Permafrost,0.949202585,-25.4500008
Permafrost,0.991443169,-25.4500008
Permafrost,0.804570104,-25.4500008
Permafrost,0.805084715,-25.4500008
Permafrost,1.095674165,-25.9832993
Permafrost,1.009454295,-25.9832993
Permafrost,1.079745462,-25.9832993
Permafrost,0.984847628,-25.9832993
Permafrost,1.396706948,-26.1333008
Permafrost,1.380580235,-26.1333008
Permafrost,1.035602621,-25.7000008
Permafrost,0.944632675,-25.7000008
Permafrost,1.007597583,-25.7000008
Seasonal frozen ground,0.902002891,-13.0333004
Seasonal frozen ground,0.915682589,-13.0333004
Seasonal frozen ground,0.886980018,-13.0333004
Seasonal frozen ground,0.969321774,-13.0333004
Seasonal frozen ground,0.887878249,-13.0333004
Seasonal frozen ground,0.917362647,-13.0333004
Seasonal frozen ground,0.958145153,-13.0333004
Seasonal frozen ground,,-15.4167004
Seasonal frozen ground,,-8.1000004
Seasonal frozen ground,0.453544604,-12.2166996
Seasonal frozen ground,0.511412732,-12.2166996
Seasonal frozen ground,0.583896713,-12.2166996
Seasonal frozen ground,0.415260555,-12.2166996
Seasonal frozen ground,0.426472222,-12.2166996
Seasonal frozen ground,0.471015788,-12.2166996
Seasonal frozen ground,0.281397022,-12.2166996
Seasonal frozen ground,0.253270142,-12.2166996
Seasonal frozen ground,0.191786248,-12.2166996
Seasonal frozen ground,0.269456903,-12.2166996
Seasonal frozen ground,0.224035553,-12.2166996
Seasonal frozen ground,0.136885378,-12.2166996
Seasonal frozen ground,0.348764232,-12.2166996
Seasonal frozen ground,0.338560074,-12.2166996
