Type,log_stock,MTW
Permafrost,0.9007439,15.5
Permafrost,0.548870745,15.5
Permafrost,1.089307988,15.5
Permafrost,0.568595931,15.5
Permafrost,1.154707526,15.5
Permafrost,0.767534317,15.5
Permafrost,0.547085225,16.8833008
Permafrost,0.878273589,16.8833008
Permafrost,1.167381178,16.8833008
Permafrost,1.924500317,15.9499998
Permafrost,1.899195117,15.9499998
Permafrost,1.833693596,15.9499998
Permafrost,2.052854551,15.6167002
Permafrost,2.019301339,15.6167002
Permafrost,1.943249026,15.6167002
Permafrost,0.996474887,14.7666998
Permafrost,0.962056891,14.7666998
Permafrost,0.956045542,14.7666998
Permafrost,1.844516441,14.9666996
Permafrost,1.718272573,14.9666996
Permafrost,1.867379418,14.9666996
Permafrost,1.730432067,16.7833004
Permafrost,1.701306121,16.7833004
Permafrost,1.484450321,16.7833004
Permafrost,1.366349429,16.7833004
Permafrost,1.360886113,16.7833004
Permafrost,0.981773382,16.7833004
Permafrost,0.894623206,16.6833
Permafrost,0.718531947,16.6833
Permafrost,1.454283965,14.25
Permafrost,1.180286549,14.25
Permafrost,1.388337628,14.25
Permafrost,1.247718149,14.25
Permafrost,1.023188237,16.7833004
Permafrost,1.006705587,16.9500008
Permafrost,0.91944421,16.2999992
Permafrost,1.842507393,14.9666996
Permafrost,1.711763578,14.9666996
Permafrost,1.861650908,14.9666996
Permafrost,0.997876179,14.7666998
Permafrost,0.959179199,14.7666998
Permafrost,0.955482963,14.7666998
Permafrost,1.957013138,15.6000004
Permafrost,1.765757937,15.6000004
Permafrost,0.925163519,16.9500008
Permafrost,0.511391327,16.9500008
Permafrost,1.198885752,17.3167
Permafrost,0.78521594,17.3167
Permafrost,1.29345979,16.7166996
Permafrost,0.717544023,16.7166996
Seasonal frozen ground,1.352505127,20.0832996
Seasonal frozen ground,1.379991143,20.0832996
Seasonal frozen ground,1.252616167,20.0832996
Seasonal frozen ground,1.398610736,20.0832996
Seasonal frozen ground,1.252616167,20.0832996
Seasonal frozen ground,1.198263295,20.0832996
Seasonal frozen ground,1.262701627,20.0832996
Seasonal frozen ground,1.247484226,20.0832996
Seasonal frozen ground,1.540478636,20.0832996
Seasonal frozen ground,1.252616167,20.0832996
Seasonal frozen ground,1.335921436,20.0832996
Seasonal frozen ground,1.426835154,20.0832996
Seasonal frozen ground,1.242290916,20.0832996
Seasonal frozen ground,1.262701627,20.0832996
Seasonal frozen ground,1.198263295,20.0832996
Seasonal frozen ground,1.162107769,20.0832996
Permafrost,0.920553232,19.1667004
Permafrost,1.163852236,14.7666998
Permafrost,0.675140175,16.1833
Permafrost,1.163852236,16
Permafrost,0.776340817,14
Permafrost,0.804891467,14.2666998
Permafrost,0.920553232,15.25
Permafrost,0.675140175,14.3500004
Permafrost,0.675140175,14.1000004
Permafrost,0.785158931,16.1667004
Permafrost,0.804891467,18.1000004
Permafrost,0.675140175,13.8000002
Permafrost,0.675140175,14.7666998
Permafrost,0.675140175,14.2166996
Permafrost,0.675140175,15.0832996
Permafrost,0.776340817,15.7166996
Permafrost,1.163852236,16.1166992
Permafrost,0.985644689,16.0333004
Permafrost,0.675140175,14.0667
Permafrost,0.801176015,18.8999996
Permafrost,0.940941554,19.8833008
Seasonal frozen ground,1.030798763,22.0832996
Seasonal frozen ground,,20.2667007
Seasonal frozen ground,,21.0167007
Seasonal frozen ground,0.706046161,19.3833008
Permafrost,1.163703614,18.8999996
Seasonal frozen ground,1.20370413,19.2667007
Permafrost,0.534491376,18.8999996
Permafrost,1.211599963,17.2999992
Permafrost,,16.2999992
Seasonal frozen ground,,19.8999996
Seasonal frozen ground,,20.2667007
Seasonal frozen ground,0.99997988,19.9333
Seasonal frozen ground,1.20370413,19.2667007
Seasonal frozen ground,,20.1499996
Seasonal frozen ground,0.739225312,19.3500004
Seasonal frozen ground,0.316738754,22.1333008
Seasonal frozen ground,0.938904966,18.9666996
Seasonal frozen ground,0.628922061,20.25
Seasonal frozen ground,1.272180948,20.9666996
Seasonal frozen ground,0.769397923,19.9167004
Seasonal frozen ground,0.72437092,20.8167
Seasonal frozen ground,,21.0167007
Permafrost,,19.9333
Seasonal frozen ground,0.979047433,20.6333008
Seasonal frozen ground,0.217728153,22.1333008
Seasonal frozen ground,0.727514839,22
Seasonal frozen ground,,20.3666992
Seasonal frozen ground,,22.2833004
Seasonal frozen ground,1.064318982,20.25
Seasonal frozen ground,,21.3999996
Seasonal frozen ground,0.685170018,20.5167007
Seasonal frozen ground,0.979829241,21.1000004
Seasonal frozen ground,1.131027402,19.3500004
Seasonal frozen ground,0.454579643,22.2000008
Seasonal frozen ground,0.675663532,20.3167
Permafrost,1.099265531,18.7332993
Seasonal frozen ground,1.028620311,20.2833004
Seasonal frozen ground,,19.4500008
Seasonal frozen ground,0.722255861,20.3500004
Seasonal frozen ground,0.794661075,20.0667
Seasonal frozen ground,0.733651492,22.0667
Seasonal frozen ground,0.920738135,21.3999996
Seasonal frozen ground,1.131027402,19.3500004
Seasonal frozen ground,0.652708399,20.0832996
Seasonal frozen ground,1.359100028,16.6333008
Seasonal frozen ground,,16.7166996
Seasonal frozen ground,,20.2166996
Seasonal frozen ground,0.995176933,19.8833008
Seasonal frozen ground,0.227284086,22.9167004
Seasonal frozen ground,0.866417559,17.2833004
Seasonal frozen ground,0.511216254,19.0167007
Seasonal frozen ground,0.947404151,19.8833008
Seasonal frozen ground,1.077987228,20.1833
Seasonal frozen ground,1.302940311,17.9832993
Seasonal frozen ground,1.298082736,19.6499996
Seasonal frozen ground,,19.0333004
Seasonal frozen ground,0.738545133,20.8500004
