Type,log_stock,MTW
Permafrost,1.415267232,15.9499998
Permafrost,1.3502771,18.2999992
Permafrost,1.372021892,18.3666992
Seasonal frozen ground,1.060468926,19.9832993
Seasonal frozen ground,0.938183367,19.9167004
Permafrost,1.484185944,16.8833008
Permafrost,1.390040207,16.8833008
Permafrost,2.01099495,14.8999996
Permafrost,1.711623758,16.7833004
Permafrost,1.727612495,16.7833004
Permafrost,1.826610068,16.8167
Permafrost,1.571962023,16.8167
Permafrost,1.889178401,16.0832996
Permafrost,1.79813941,16.7833004
Permafrost,1.700526159,14.25
Permafrost,1.572193743,14.25
Permafrost,1.660723725,14.25
Permafrost,1.582527317,14.25
Permafrost,1.149226538,16.7833004
Permafrost,1.21664933,16.7833004
Permafrost,1.115506701,16.8833008
Permafrost,2.092467993,15.6000004
Permafrost,1.938159331,15.6000004
Permafrost,2.001491409,15.6000004
Permafrost,1.821539729,15.6000004
Permafrost,2.097711127,15.2166996
Permafrost,2.052683786,14.25
Permafrost,0.942611212,16.7833004
Permafrost,0.530507087,16.7833004
Permafrost,0.942611212,16.7833004
Permafrost,0.482679283,16.7833004
Permafrost,0.969747597,16.7833004
Permafrost,0.58951177,16.7833004
Permafrost,1.122221155,16.7833004
Permafrost,0.685003291,16.7833004
Permafrost,0.956391318,16.7833004
Permafrost,0.565243195,16.7833004
Permafrost,1.006048267,16.7833004
Permafrost,0.652052881,16.7833004
Permafrost,1.016548697,16.7833004
Permafrost,0.573586355,16.7833004
Permafrost,1.033963908,16.7833004
Permafrost,0.634590145,16.7833004
Permafrost,1.062780507,16.7833004
Permafrost,0.694373546,16.7833004
Permafrost,1.019518431,16.7833004
Permafrost,0.641712048,16.7833004
Permafrost,0.908034439,16.8833008
Permafrost,0.561168226,16.8833008
Permafrost,0.874463296,16.8833008
Permafrost,0.497515721,16.8833008
Permafrost,0.872468652,16.8833008
Permafrost,0.467318019,16.8833008
Permafrost,1.023881044,16.8833008
Permafrost,0.678562112,16.8833008
