Type,log_stock,MAT
Permafrost,0.25411284,-4.9
Permafrost,0.098048109,-4.9
Permafrost,0.317294287,-4.9
Permafrost,0.051715775,-4.9
Permafrost,0.657602681,-4.9
Permafrost,0.421899936,-4.9
Permafrost,1.308090379,-4
Permafrost,1.768744361,-4.2
Permafrost,1.592652089,-4.2
Permafrost,1.824685225,-4.2
Permafrost,1.647134608,-4.2
Permafrost,1.016072244,-4.2
Permafrost,0.945587552,-4.2
Permafrost,1.924498508,-4.2
Permafrost,1.805313561,-4.2
Permafrost,1.77214198,-2.3
Permafrost,1.727843076,-2.3
Permafrost,1.167440887,-2.3
Permafrost,1.07317097,-2.3
Permafrost,0.809929536,-2.3
Permafrost,0.700785066,-2.3
Permafrost,0.596049716,-2.3
Permafrost,0.633838277,-2.3
Permafrost,1.05803782,-3
Permafrost,0.975085211,-3
Permafrost,1.920520441,-4.2
Permafrost,1.798160258,-4.2
Permafrost,1.015042403,-4.2
Permafrost,0.943829209,-4.2
Permafrost,1.303860603,-2.12
Permafrost,1.192786497,-2.12
Permafrost,1.1551714,-2.12
Permafrost,0.945244585,-1.1
Permafrost,1.387603561,-5.3
Permafrost,0.544028336,-3
Permafrost,0.988929777,-3
Seasonal frozen ground,0.447874027,5.7
Seasonal frozen ground,0.225526375,5.7
Seasonal frozen ground,0.24663643,5.7
Seasonal frozen ground,0.160102213,5.7
Seasonal frozen ground,0.112081925,5.7
Seasonal frozen ground,0.440329636,5.7
Seasonal frozen ground,0.242655701,5.7
Seasonal frozen ground,0.953193145,5.5
Seasonal frozen ground,0.955855087,5.5
Seasonal frozen ground,0.809195967,5.5
Seasonal frozen ground,0.838153663,5.5
Seasonal frozen ground,-0.295849483,7.7
Seasonal frozen ground,-0.156767222,7.7
Seasonal frozen ground,-0.145693958,7.7
Seasonal frozen ground,-0.199282922,7.7
Seasonal frozen ground,-0.225483034,7.7
Seasonal frozen ground,-0.164943898,7.7
Seasonal frozen ground,-0.206209615,7.7
Seasonal frozen ground,0.292256071,5.5
Seasonal frozen ground,0.779382899,4.3
Seasonal frozen ground,0.779382899,4.7
Seasonal frozen ground,0.757273012,4.2
Seasonal frozen ground,0.779382899,4.3
Seasonal frozen ground,0.779382899,4.7
Seasonal frozen ground,0.757273012,4.2
Seasonal frozen ground,0.779382899,4.3
Seasonal frozen ground,0.779382899,4.7
Seasonal frozen ground,0.757273012,4.2
Seasonal frozen ground,0.854777898,0.4
Seasonal frozen ground,0.553184433,0.4
Seasonal frozen ground,0.351022885,4
Seasonal frozen ground,0.213995649,4
Seasonal frozen ground,0.476499429,4
Seasonal frozen ground,0.504961004,4
Seasonal frozen ground,0.472461181,4
Seasonal frozen ground,0.427144822,4
Seasonal frozen ground,0.536151093,4.2
Seasonal frozen ground,0.473156608,4.2
Seasonal frozen ground,0.345889756,4.2
Seasonal frozen ground,0.502116477,4.2
Seasonal frozen ground,0.202795432,4
Seasonal frozen ground,-0.022117322,4
Seasonal frozen ground,0.049334966,4
Seasonal frozen ground,0.08027149,4
Seasonal frozen ground,0.371082647,4.6
Seasonal frozen ground,0.307234955,4.6
Seasonal frozen ground,0.024805729,4
Seasonal frozen ground,0.171726454,4
Seasonal frozen ground,0.28057837,4
Seasonal frozen ground,0.265148139,4
Seasonal frozen ground,0.171726454,4
Seasonal frozen ground,0.363122888,2.2
Seasonal frozen ground,0.455986239,1.9
Seasonal frozen ground,0.140972885,1.9
Seasonal frozen ground,0.23363058,1.9
Seasonal frozen ground,0.86890294,4.2
Seasonal frozen ground,0.879898324,4.2
Seasonal frozen ground,0.851869601,4.2
Seasonal frozen ground,0.86890294,4.2
Seasonal frozen ground,0.911306789,4.2
Seasonal frozen ground,0.906227263,4.2
Seasonal frozen ground,-0.02974613,6.4
Seasonal frozen ground,0.131105162,6.4
Seasonal frozen ground,-0.015022874,6.4
Seasonal frozen ground,0.17995373,6.4
Seasonal frozen ground,-0.000782434,6.4
Seasonal frozen ground,-0.000782434,6.4
