Type,log_stock,MTC
Permafrost,2.09067345,-25.2999992
Permafrost,2.041003225,-25.2999992
Permafrost,1.626430297,-22.5167007
Permafrost,1.65051809,-22.5167007
Permafrost,1.58342856,-22.5832996
Permafrost,1.515354631,-22.5832996
Permafrost,1.152824016,-24.6333008
Permafrost,1.183968401,-24.6333008
Permafrost,2.119476188,-23.7833004
Permafrost,2.034916623,-25.75
Permafrost,1.992845011,-26.2166996
Permafrost,1.948295573,-26.2166996
Permafrost,2.126170385,-25.2999992
Permafrost,2.046276596,-25.2999992
Permafrost,1.856897985,-26.2166996
Permafrost,1.948295573,-26.2166996
Seasonal frozen ground,1.202673547,-18.75
Permafrost,1.072617477,-19.9666996
Permafrost,1.173535895,-19.9666996
Permafrost,1.151614972,-19.9666996
Permafrost,1.224688417,-19.9666996
Permafrost,1.115011071,-19.9666996
Permafrost,1.098712931,-19.9666996
Permafrost,1.240049772,-19.9666996
Permafrost,1.230039981,-19.9666996
Permafrost,1.258301976,-19.9666996
Permafrost,1.145631415,-19.9666996
Permafrost,0.241506635,-22.1166992
Permafrost,0.39814842,-22.1166992
Permafrost,0.305351369,-22.1166992
Permafrost,0.377626753,-22.1166992
Permafrost,2.031395859,-26.2332993
Seasonal frozen ground,1.15807528,-18.6333008
Permafrost,,-26.7667007
Permafrost,1.086156163,-26.2000008
Permafrost,0.942142043,-26.2000008
Permafrost,1.245060268,-27.1333008
Permafrost,1.267113506,-25.9832993
Permafrost,0.678951547,-25.7000008
Permafrost,0.377634034,-25.7000008
Permafrost,0.52376207,-25.7000008
Permafrost,2.141161193,-25.6000004
Permafrost,1.999099208,-24.5667
Permafrost,1.900397719,-24.5667
Permafrost,1.767636664,-24.5667
Permafrost,1.69592625,-24.2000008
Permafrost,2.074939985,-26.5832996
Permafrost,2.053700614,-26.4666996
Permafrost,2.05085208,-25.0832996
Permafrost,2.015931172,-24.9832993
Seasonal frozen ground,1.076591806,-14.2833004
Seasonal frozen ground,1.179838928,-18.75
Seasonal frozen ground,1.180068501,-18.75
Seasonal frozen ground,1.18999534,-18.75
Seasonal frozen ground,1.194292282,-18.75
Seasonal frozen ground,1.114610984,-18.75
Seasonal frozen ground,1.132835804,-18.75
Seasonal frozen ground,1.122150319,-18.75
Seasonal frozen ground,1.139123134,-18.75
Seasonal frozen ground,2.048289813,-14.4333
Seasonal frozen ground,2.058427695,-14.4333
Permafrost,1.740687263,-22.5167007
Seasonal frozen ground,-0.606459893,-15.1167002
Seasonal frozen ground,-0.674484337,-15.1167002
Seasonal frozen ground,-0.206265477,-15.1167002
Seasonal frozen ground,-0.328197933,-15.1167002
Seasonal frozen ground,0.748018929,-19.1166992
Seasonal frozen ground,0.615655515,-19.0667
Seasonal frozen ground,0.595760686,-19.0667
Seasonal frozen ground,0.537768739,-19.0667
Seasonal frozen ground,0.501387941,-19.0667
Seasonal frozen ground,0.61500683,-19.0667
Seasonal frozen ground,0.595760686,-19.0667
Seasonal frozen ground,0.535825584,-19.0667
Seasonal frozen ground,0.502230414,-19.0667
Seasonal frozen ground,1.176841072,-16.1667004
Seasonal frozen ground,1.189641322,-16.1667004
Seasonal frozen ground,1.341651321,-16.1667004
Seasonal frozen ground,1.220505573,-16.1667004
Seasonal frozen ground,0.98099906,-16.1667004
Seasonal frozen ground,1.377300422,-16.1667004
Seasonal frozen ground,1.227529357,-16.1667004
Seasonal frozen ground,1.199996933,-16.1667004
Seasonal frozen ground,0.785275723,-18.75
Seasonal frozen ground,0.653388126,-18.75
Seasonal frozen ground,0.530192012,-18.7999992
Seasonal frozen ground,0.479572431,-18.7999992
Seasonal frozen ground,0.544564097,-18.7667007
Seasonal frozen ground,0.568858538,-18.7667007
Seasonal frozen ground,0.687279192,-18.7667007
Seasonal frozen ground,0.721051792,-18.7667007
Seasonal frozen ground,0.648789214,-18.7667007
Seasonal frozen ground,0.482873584,-18.7667007
Seasonal frozen ground,0.571475904,-18.7667007
Seasonal frozen ground,0.482873584,-18.7667007
Seasonal frozen ground,0.555142835,-18.7667007
Seasonal frozen ground,0.462278176,-18.7667007
Seasonal frozen ground,0.647148153,-18.75
Seasonal frozen ground,0.250478555,-18.75
Seasonal frozen ground,0.501407106,-18.75
Seasonal frozen ground,0.35758041,-18.75
Seasonal frozen ground,0.557006452,-18.75
Seasonal frozen ground,0.570356106,-18.4167004
Seasonal frozen ground,0.392352194,-18.75
Seasonal frozen ground,0.380374072,-18.75
Seasonal frozen ground,0.336475744,-18.75
Seasonal frozen ground,0.560064522,-18.75
Seasonal frozen ground,1.161269751,-18.75
Seasonal frozen ground,1.242474838,-18.75
Seasonal frozen ground,0.447201459,-18.75
Seasonal frozen ground,0.067160162,-18.75
Seasonal frozen ground,0.479143248,-18.75
