FT,ET,MT,stock,pH,MBC,MAT,MAP,NDSI,NDVI
Permafrost,Wetland,ER,26.0176,6,0.2992024,-5.5,400,18.3852997,0.421577
Permafrost,Wetland,AM,22.4015,6.6999998,0.1030469,0.4,630,5.4612799,0.439049
Permafrost,Wetland,EM,23.55168,6.6999998,0.240227136,0.4,630,7.5397801,0.415376
Seasonal,Wetland,AM,11.49394,6.6999998,0.205741526,2.52,588,21.0009003,0.304837
Seasonal,Wetland,NM,8.67328,6.1999998,0.619272192,2.52,588,24.4498997,0.304471
Permafrost,Forest,EM,7.9569,5.26,0.0609,-4.9,490,17.1676998,0.393888
Permafrost,Forest,EM,3.53892,5.55,0.050512,-4.9,490,17.1676998,0.393888
Permafrost,Forest,EM,12.2831,5.17,0.0904,-4.9,490,17.1676998,0.393888
Permafrost,Forest,EM,3.70336,5.49,0.054812,-4.9,490,17.1676998,0.393888
Permafrost,Forest,EM,14.27932,4.95,0.025398,-4.9,490,17.1676998,0.393888
Permafrost,Forest,EM,5.8551,5.71,0.01537,-4.9,490,17.1676998,0.393888
Permafrost,Wetland,NM,30.49200231,4.79,0.085239006,-2.2,550.7,11.0199003,0.401434
Permafrost,Wetland,NM,24.54936186,4.62,0.085239006,-2.2,550.7,11.0199003,0.401434
Permafrost,Wetland,ER,102.564,4.54,0.93018,-3.9,452,12.1788998,0.430922
Permafrost,Wetland,AM,51.478248,6.6999998,0.086668135,-2.4,522,12.1014004,0.370996
Permafrost,Wetland,AM,53.40876,6.6999998,0.086668135,-2.4,522,12.1014004,0.370996
Permafrost,Wetland,EM,67.082628,6.6999998,0.086550251,-2.4,522,12.559,0.361417
Permafrost,Wetland,EM,37.321752,6.6999998,0.086550251,-2.4,522,12.559,0.361417
Permafrost,Forest,EM,3.524400267,4.6,0.085239006,-4.9,425,11.0199003,0.401434
Permafrost,Forest,EM,7.555680572,5,0.085239006,-4.9,425,11.0199003,0.401434
Permafrost,Forest,EM,14.70216111,4.8,0.085239006,-4.9,425,11.0199003,0.401434
Permafrost,Wetland,AM,77.478,6.6999998,0.094335569,-4.2,425,15.8376999,0.396081
Permafrost,Wetland,AM,62.826,6.6999998,0.086668135,-3,490,12.1014004,0.370996
Permafrost,Forest,EM,84.042762,6.6999998,0.095154086,-4.2,438,9.2787199,0.378652
Permafrost,Forest,EM,79.285746,6.6999998,0.095154086,-4.2,438,9.2787199,0.378652
Permafrost,Forest,EM,68.185746,6.6999998,0.095154086,-4.2,438,9.2787199,0.378652
Permafrost,Forest,EM,112.94176,6,0.078154361,-4.2,438,12.1511002,0.399646
Permafrost,Forest,EM,104.544536,6,0.078154361,-4.2,438,12.1511002,0.399646
Permafrost,Forest,EM,87.750384,6,0.078154361,-4.2,438,12.1511002,0.399646
Permafrost,Forest,EM,9.9191598,6.6999998,0.096448343,-4.2,438,4.9176002,0.375984
Permafrost,Forest,EM,9.1634052,6.6999998,0.096448343,-4.2,438,4.9176002,0.375984
Permafrost,Forest,EM,9.0374424,6.6999998,0.096448343,-4.2,438,4.9176002,0.375984
Permafrost,Forest,EM,69.90632,6,0.074081696,-4.2,438,17.6648006,0.352671
Permafrost,Forest,EM,52.272416,6,0.074081696,-4.2,438,17.6648006,0.352671
Permafrost,Forest,EM,73.685056,6,0.074081696,-4.2,438,17.6648006,0.352671
Permafrost,Forest,EM,53.756634,4.13498,0.31646766,-2.3,500,12.1014004,0.370996
Permafrost,Forest,EM,50.26968,3.99081,0.26131842,-2.3,500,12.1014004,0.370996
Permafrost,Forest,EM,30.51057,4.39005,0.33370152,-2.3,500,12.1014004,0.370996
