lon,lat,soc_obs
122.87,52.93,26.0176
128.65,48.17,22.4015
128.65,48.13,23.55168
133.52,47.58,11.49394
133.48,47.58,8.67328
122.27,53.38,7.9569
122.27,53.38,3.53892
122.27,53.38,12.2831
122.27,53.38,3.70336
122.27,53.38,14.27932
122.27,53.38,5.8551
122.34,53.47,30.49200231
122.34,53.47,24.54936186
122.87,52.42,102.564
125.14,51.13,51.478248
125.14,51.13,53.40876
125.15,51.15,67.082628
125.15,51.15,37.321752
122.34,53.47,3.524400267
122.34,53.47,7.555680572
122.34,53.47,14.70216111
122.87,52.94,77.478
125.14,51.13,62.826
122.11,52.99,84.042762
122.11,52.99,79.285746
122.11,52.99,68.185746
122.05,53.04,112.94176
122.05,53.04,104.544536
122.05,53.04,87.750384
121.91,51.89,9.9191598
121.91,51.89,9.1634052
121.91,51.89,9.0374424
122.29,52.28,69.90632
122.29,52.28,52.272416
122.29,52.28,73.685056
125.14,51.13,53.756634
125.14,51.13,50.26968
125.14,51.13,30.51057
125.14,51.13,23.246064
125.14,51.13,22.955466
125.14,51.13,9.5890014
125.14,51.12,7.8455466
125.14,51.12,5.2303644
123,52,28.46321578
123,52,15.14560232
123,52,50.17948028
123,52,37.34167053
123,52,24.45330858
123,52,17.68960557
123,52,45.78505336
123,52,38.24083063
122.33,53.47,10.54844
122.35,53.47,10.1556
122.23,53.45,8.307
122.28,52.28,69.58368
122.28,52.28,51.494824
122.28,52.28,72.719504
121.9,51.89,9.9512166
121.9,51.89,9.102888
121.9,51.89,9.025743
122.33,53.47,14.10024107
122.33,53.47,16.46832125
122.34,53.47,13.04688099
122.65,52.73,90.576
122.65,52.73,58.312
122.65,52.73,123.728
122.65,52.73,86.728
122.65,52.73,100.344
122.65,52.73,66.304
124.28,51.58,125.230792
122.64,52.25,112.89736
122.33,53.47,8.762160664
122.33,53.47,3.392400257
122.33,53.47,8.762160664
122.33,53.47,3.03864023
122.33,53.47,9.327120707
122.33,53.47,3.886080294
122.33,53.47,13.250161
122.33,53.47,4.841760367
122.33,53.47,9.044640685
122.33,53.47,3.674880278
122.33,53.47,10.14024077
122.33,53.47,4.48800034
122.33,53.47,10.38840079
122.33,53.47,3.746160284
122.33,53.47,10.81344082
122.33,53.47,4.311120327
122.33,53.47,11.55528088
122.33,53.47,4.947360375
122.33,53.47,10.45968079
122.33,53.47,4.382400332
122.34,53.47,8.091600613
122.34,53.47,3.640560276
122.34,53.47,7.489680567
122.34,53.47,3.144240238
122.34,53.47,7.455360565
122.34,53.47,2.933040222
122.34,53.47,10.5652808
122.34,53.47,4.770480361
122.34,53.47,7.809120592
122.34,53.47,3.286800249
124.73,52.35,15.8083212
124.73,52.35,6.098400462
124.25,50.53,19.6544
124.25,50.53,5.21848
122.65,52.73,14.272
122.87,52.42,110.556
122.33,53.47,9.345600708
122.33,53.47,3.247200246
122.33,53.47,9.971280755
122.33,53.47,4.691280355
122.34,53.47,10.26432078
122.34,53.47,4.392960333
133.48,47.58,17.28346
122.87,52.93,131.94792
133.52,47.58,17.3604
127.53,45.38,22.51672
127.53,45.38,23.98784
127.53,45.38,17.89024
127.53,45.38,25.03864
127.53,45.38,17.89024
127.53,45.38,15.78568
127.53,45.38,18.31056
127.53,45.38,17.68008
127.53,45.38,34.71192
127.53,45.38,17.89024
127.53,45.38,21.67312
127.53,45.38,26.71992
127.53,45.38,17.46992
127.53,45.38,18.31056
127.53,45.38,15.78568
127.53,45.38,14.52472
122.95,48.2,8.32824
121.9,51.89,14.58318
122.45,49.52,4.73304
123.93,51.05,14.58318
121.81,50.15,5.97504
120.64,47.53,6.38104
119.99,47.33,8.32824
121.19,50.83,4.73304
121.51,50.94,4.73304
119.8,50.67,6.0976
122.02,47.61,6.38104
122.43,50.99,4.73304
121.9,51.89,4.73304
121.51,50.92,4.73304
121.63,49.65,4.73304
120.87,50.37,5.97504
121.24,47.95,14.58318
120.06,52.77,9.67486
122.09,50.94,4.73304
128.63,48.12,10.72
128.63,48.12,12.416
128.63,48.12,13.244
128.63,48.12,16.764
128.63,48.12,14.188
128.63,48.12,12.978
128.63,48.12,12.96
128.63,48.12,16.528
128.63,48.12,14.172
128.63,48.12,17.49
125.47,51.37,6.20288
125.47,51.37,2.60972
125.47,51.37,4.33904
125.47,51.37,2.60804
127.53,50.25,8.728538944
123.92,46.59,10.73491879
127.53,50.25,41.66728854
124.88,48.88,5.082134571
126.67,51.73,14.57819026
127.56,47.66,15.98468677
126.67,51.73,3.423665893
124.71,52.33,16.27795947
125.44,48.54,9.99953672
127.56,47.66,15.98468677
133.23,46.33,5.485614849
131.05,44.35,8.687703016
131.57,45.39,4.255220418
128.16,45.9,18.71461717
128.48,45.51,5.301160093
123.25,47.71,9.52900232
123.74,46.29,1.650928074
131.57,45.39,11.5962877
131.85,45.53,4.84361949
127.35,45.71,9.546171694
128.9,47.74,13.52157875
131.95,45.55,4.7387471
127.5,49.44,12.56798144
131.8,45.51,10.6812065
123.67,48.04,5.275405664
125.31,45.52,5.415661253
124.93,47.22,8.331786543
128.9,47.74,13.52157875
129.25,42.89,4.494779582
128.14,42.46,20.08816705
126.11,42.91,5.477030162
127.79,42.06,12.68491879
126.3,42.77,2.067285383
123.32,40.81,4.687238979
125.23,42.3,5.222273782
122.47,41.51,0.802320186
122.47,41.45,0.35487239
119.57,41.21,8.217169374
123.53,40.18,2.747563805
122.1,40.78,2.306264501
125.23,42.3,5.238051044
120.78,41.76,3.89025522
123.11,41.21,2.403712297
121.64,41.28,2.163341067
122.69,42.72,0.902088167
119.71,42.08,2.257308585
119.59,41.37,0.944547564
121.8,41.59,6.936426914
121.64,41.28,5.957772622
122.9,52.9,108.48696
126.38,42.35,87.6012
122.9,52.9,72.9936
128.9,48.2,72.6088
133.5,47.6,10.2378
123.59,51.94,22.12674
124.81,52.16,19.8264015
122.87,52.93,104.1624
133.35,47.48,62.9592
122.86,52.94,74.40774
122.86,52.94,103.6407
123.31,49.45,19.0557992
123.31,49.45,10.79808
122.63,51.58,70.506312
122.63,51.58,32.394832
122.87,52.94,14.0768
122.87,52.94,14.025
122.33,53.47,12.09999212
122.27,53.38,9.58894
122.27,53.38,10.276
122.27,53.38,8.89616
122.27,53.38,9.8049
122.27,53.38,6.37632
122.27,53.38,6.38388
122.34,53.56,22.91024
122.34,53.56,17.63032
122.34,53.56,12.46448
122.34,53.56,10.22008
122.34,53.56,12.0156
122.34,53.56,9.65712
122.27,53.4,20.6272
122.27,53.4,23.782
122.27,53.4,31.692
122.27,53.4,31.1512
122.27,53.4,19.8352
122.27,53.4,14.0146
122.27,53.4,28.7114
